session,params,fit,nb_mean,nb_min,robust,n,tpd,R,R_trade,pfR,t,R_h1,R_h2,maxDD
ASIA,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 6.0, ""big_sl"": 10.5, ""big_tp"": 34.5, ""std_sl"": 10.5, ""std_tp"": 12.5, ""leg_gap"": 4.5, ""leg_sl"": 13.5, ""leg_tp"": 34.5, ""min_fv"": 60.0, ""min_bos"": 6.0, ""disp_pts"": 4.5, ""stack_gap"": 4.5}",0.577,-0.147,-1.0,-0.147,113,0.32,11.42,0.101,1.167,0.577,0.56,10.86,-8.14
ASIA,"{""offset"": 30, ""window"": 90, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 3.0, ""big_sl"": 10.5, ""big_tp"": 24.0, ""std_sl"": 6.0, ""std_tp"": 9.0, ""leg_gap"": 4.5, ""leg_sl"": 7.5, ""leg_tp"": 18.0, ""min_fv"": 45.0, ""min_bos"": 0.0, ""disp_pts"": 9.0, ""stack_gap"": 4.5}",0.563,0.09,-1.0,0.09,110,0.31,18.63,0.1694,1.168,0.563,8.74,9.89,-40.01
ASIA,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 4.5, ""big_sl"": 15.0, ""big_tp"": 39.0, ""std_sl"": 4.5, ""std_tp"": 12.5, ""leg_gap"": 7.5, ""leg_sl"": 13.5, ""leg_tp"": 27.0, ""min_fv"": 45.0, ""min_bos"": 6.0, ""disp_pts"": 9.0, ""stack_gap"": 6.0}",0.393,-0.308,-1.0,-0.308,237,0.67,10.58,0.0446,1.059,0.393,0.91,9.67,-39.04
ASIA,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 7.5, ""big_sl"": 9.0, ""big_tp"": 34.5, ""std_sl"": 7.5, ""std_tp"": 10.5, ""leg_gap"": 6.0, ""leg_sl"": 13.5, ""leg_tp"": 42.0, ""min_fv"": 37.5, ""min_bos"": 6.0, ""disp_pts"": 6.0, ""stack_gap"": 6.0}",0.27,-0.602,-1.0,-0.602,105,0.3,7.38,0.0703,1.088,0.27,0.12,7.26,-17.55
ASIA,"{""offset"": 30, ""window"": 90, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 7.5, ""big_sl"": 12.0, ""big_tp"": 34.5, ""std_sl"": 9.0, ""std_tp"": 18.0, ""leg_gap"": 4.5, ""leg_sl"": 13.5, ""leg_tp"": 42.0, ""min_fv"": 60.0, ""min_bos"": 4.5, ""disp_pts"": 4.5, ""stack_gap"": 3.0}",0.216,-0.469,-1.0,-0.469,125,0.36,6.76,0.0541,1.079,0.216,0.42,6.34,-22.26
ASIA,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 4.5, ""big_sl"": 15.0, ""big_tp"": 30.0, ""std_sl"": 4.5, ""std_tp"": 10.5, ""leg_gap"": 7.5, ""leg_sl"": 10.5, ""leg_tp"": 27.0, ""min_fv"": 45.0, ""min_bos"": 4.5, ""disp_pts"": 12.0, ""stack_gap"": 3.0}",0.157,-0.421,-1.0,-0.421,268,0.76,3.97,0.0148,1.021,0.157,1.75,2.22,-33.06
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""std"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 0, ""big_thr"": 4.0, ""big_sl"": 12.0, ""big_tp"": 24.0, ""std_sl"": 10.0, ""std_tp"": 24.0, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 36.0, ""min_fv"": 80.0, ""min_bos"": 0.0, ""disp_pts"": 12.0, ""stack_gap"": 4.0}",1.336,0.309,-1.0,0.309,102,0.29,17.4,0.1706,1.344,1.336,14.59,2.81,-9.12
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""std"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 6.0, ""big_sl"": 12.0, ""big_tp"": 52.0, ""std_sl"": 14.0, ""std_tp"": 24.0, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 36.0, ""min_fv"": 60.0, ""min_bos"": 2.0, ""disp_pts"": 16.0, ""stack_gap"": 4.0}",1.138,0.43,-1.0,0.43,88,0.25,11.21,0.1273,1.356,1.138,3.57,7.63,-5.86
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 4.0, ""big_sl"": 12.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 20.0, ""leg_gap"": 6.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 4.0, ""disp_pts"": 6.0, ""stack_gap"": 8.0}",0.907,0.171,-1.0,0.171,145,0.41,40.34,0.2782,1.317,0.907,6.41,33.93,-35.52
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 4.0, ""big_sl"": 12.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 14.0, ""leg_gap"": 10.0, ""leg_sl"": 18.0, ""leg_tp"": 36.0, ""min_fv"": 50.0, ""min_bos"": 4.0, ""disp_pts"": 6.0, ""stack_gap"": 4.0}",0.904,0.305,-1.0,0.305,98,0.28,17.71,0.1807,1.26,0.904,2.54,15.17,-14.03
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 8.0, ""big_sl"": 20.0, ""big_tp"": 52.0, ""std_sl"": 14.0, ""std_tp"": 24.0, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 0.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",0.812,0.468,-1.0,0.468,162,0.46,30.63,0.1891,1.257,0.812,9.11,21.53,-35.71
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""std"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 10.0, ""big_sl"": 10.0, ""big_tp"": 46.0, ""std_sl"": 14.0, ""std_tp"": 20.0, ""leg_gap"": 10.0, ""leg_sl"": 14.0, ""leg_tp"": 46.0, ""min_fv"": 40.0, ""min_bos"": 4.0, ""disp_pts"": 8.0, ""stack_gap"": 8.0}",0.757,0.009,-1.0,0.009,127,0.36,9.96,0.0785,1.138,0.757,1.18,8.79,-8.86
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""std"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 10.0, ""big_sl"": 20.0, ""big_tp"": 52.0, ""std_sl"": 14.0, ""std_tp"": 12.0, ""leg_gap"": 6.0, ""leg_sl"": 18.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 0.0, ""disp_pts"": 10.0, ""stack_gap"": 6.0}",0.751,0.053,-1.0,0.053,89,0.25,5.46,0.0614,1.15,0.751,2.46,3.0,-3.93
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 0, ""big_thr"": 8.0, ""big_sl"": 12.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 16.75, ""leg_gap"": 4.0, ""leg_sl"": 18.0, ""leg_tp"": 24.0, ""min_fv"": 80.0, ""min_bos"": 0.0, ""disp_pts"": 12.0, ""stack_gap"": 4.0}",0.731,0.013,-1.0,0.013,114,0.32,15.43,0.1354,1.257,0.731,14.15,1.28,-13.37
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 6.0, ""big_sl"": 16.0, ""big_tp"": 32.0, ""std_sl"": 8.0, ""std_tp"": 14.0, ""leg_gap"": 6.0, ""leg_sl"": 14.0, ""leg_tp"": 46.0, ""min_fv"": 50.0, ""min_bos"": 4.0, ""disp_pts"": 6.0, ""stack_gap"": 4.0}",0.727,0.287,-1.0,0.287,155,0.44,31.47,0.203,1.225,0.727,5.17,26.3,-27.12
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": false, ""legs"": true, ""leg_max"": 4, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 6.0, ""big_sl"": 12.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 20.0, ""leg_gap"": 6.0, ""leg_sl"": 14.0, ""leg_tp"": 36.0, ""min_fv"": 32.0, ""min_bos"": 0.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",0.726,0.086,-1.0,0.086,145,0.41,13.18,0.0909,1.143,0.726,6.89,6.29,-15.61
