combo,risk,breaker,pstop,smart,trades_per_day,usd_train,cohorts,passed,failed,open,pass_rate,med_days
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,750.0,1900.0,,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,750.0,1900.0,min,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,750.0,1900.0,0.25,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,750.0,1900.0,0.5,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,500.0,,,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,500.0,,min,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,500.0,,0.25,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,500.0,,0.5,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,1000.0,1900.0,,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,1000.0,1900.0,min,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,1000.0,1900.0,0.25,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": 1, ""NY"": 7}",250,1000.0,1900.0,0.5,0.91,25636,76,47,0,29,1.0,65.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,1000.0,1900.0,,0.66,23126,76,46,0,30,1.0,73.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,1000.0,1900.0,min,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,1000.0,1900.0,0.25,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,1000.0,1900.0,0.5,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,1500.0,1500.0,,0.66,23126,76,46,0,30,1.0,73.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,1500.0,1500.0,min,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,1500.0,1500.0,0.25,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,1500.0,1500.0,0.5,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,500.0,1500.0,,0.66,23126,76,46,0,30,1.0,73.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,500.0,1500.0,min,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,500.0,1500.0,0.25,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",250,500.0,1500.0,0.5,0.66,23126,76,46,0,30,1.0,71.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,1000.0,,,0.66,32885,76,48,1,27,0.98,44.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,1000.0,,min,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,1000.0,,0.25,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,1000.0,,0.5,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,1000.0,1500.0,,0.66,32885,76,48,1,27,0.98,44.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,1000.0,1500.0,min,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,1000.0,1500.0,0.25,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,1000.0,1500.0,0.5,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,500.0,,,0.66,32885,76,48,1,27,0.98,44.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,500.0,,min,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,500.0,,0.25,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",375,500.0,,0.5,0.66,32885,76,48,1,27,0.98,43.5
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,,,,0.96,25794,76,47,2,27,0.959,66.0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,,,min,0.96,25794,76,47,2,27,0.959,55.0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,,,0.25,0.96,25794,76,47,2,27,0.959,55.0
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,,,0.5,0.96,25794,76,47,2,27,0.959,55.0
"{""ASIA"": null, ""LDN"": 7, ""NY"": 7}",250,500.0,1900.0,,0.96,26548,76,60,6,10,0.909,82.0
"{""ASIA"": null, ""LDN"": 7, ""NY"": 7}",250,500.0,1900.0,0.5,0.96,26548,76,45,6,25,0.882,82.0
