baseline,risk,breaker,smart,train_cohorts,train_passed,train_failed,train_open,train_pass_rate,train_med_days,search_cohorts,search_passed,search_failed,search_open,search_pass_rate,search_med_days,final_cohorts,final_passed,final_failed,final_open,final_pass_rate,final_med_days,train_usd_per_day,held_usd_per_day,final_usd_per_day
LIVE,250,1000.0,,76,37,37,2,0.5,38.0,94,41,51,2,0.446,39.0,12,3,6,3,0.333,18.0,75.2,-11.4,8.8
LIVE,250,1000.0,min,76,37,37,2,0.5,32.0,94,43,49,2,0.467,39.0,12,3,6,3,0.333,13.0,75.2,-11.4,8.8
LIVE,250,1000.0,0.25,76,37,37,2,0.5,32.0,94,43,49,2,0.467,39.0,12,3,6,3,0.333,13.0,75.2,-11.4,8.8
LIVE,250,1000.0,0.5,76,37,37,2,0.5,34.0,94,43,49,2,0.467,39.0,12,3,6,3,0.333,13.0,75.2,-11.4,8.8
LIVE,250,,,76,35,36,5,0.493,35.0,94,40,51,3,0.44,39.0,12,3,6,3,0.333,18.0,75.9,-15.6,32.4
LIVE,250,,min,76,36,35,5,0.507,32.0,94,42,49,3,0.462,37.5,12,3,6,3,0.333,13.0,75.9,-15.6,32.4
LIVE,250,,0.25,76,36,35,5,0.507,32.0,94,42,49,3,0.462,37.5,12,3,6,3,0.333,13.0,75.9,-15.6,32.4
LIVE,250,,0.5,76,36,35,5,0.507,34.5,94,42,49,3,0.462,38.5,12,3,6,3,0.333,13.0,75.9,-15.6,32.4
LIVE,375,1000.0,,76,34,41,1,0.453,20.0,94,40,53,1,0.43,22.5,12,3,7,2,0.3,11.0,119.9,-39.7,-23.9
LIVE,375,1000.0,min,76,32,33,11,0.492,30.5,94,40,48,6,0.455,30.5,12,3,7,2,0.3,11.0,119.9,-39.7,-23.9
LIVE,375,1000.0,0.25,76,32,33,11,0.492,30.5,94,40,48,6,0.455,30.5,12,3,7,2,0.3,11.0,119.9,-39.7,-23.9
LIVE,375,1000.0,0.5,76,38,33,5,0.535,27.5,94,43,48,3,0.473,28.0,12,3,7,2,0.3,11.0,119.9,-39.7,-23.9
LIVE,375,,,76,35,40,1,0.467,19.0,94,39,54,1,0.419,19.0,12,4,6,2,0.4,13.5,124.6,-28.2,42.8
LIVE,375,,min,76,32,36,8,0.471,30.5,94,36,50,8,0.419,34.5,12,4,6,2,0.4,13.5,124.6,-28.2,42.8
LIVE,375,,0.25,76,32,36,8,0.471,30.5,94,36,50,8,0.419,34.5,12,4,6,2,0.4,13.5,124.6,-28.2,42.8
LIVE,375,,0.5,76,36,36,4,0.5,25.0,94,40,50,4,0.444,27.5,12,4,6,2,0.4,13.5,124.6,-28.2,42.8
LIVE,500,1000.0,,76,31,42,3,0.425,15.0,94,32,61,1,0.344,19.0,12,3,8,1,0.273,11.0,175.2,-52.7,29.1
LIVE,500,1000.0,min,76,28,38,10,0.424,29.0,94,28,56,10,0.333,48.0,12,2,7,3,0.222,18.5,175.2,-52.7,29.1
LIVE,500,1000.0,0.25,76,28,38,10,0.424,30.5,94,27,56,11,0.325,34.0,12,3,7,2,0.3,22.0,175.2,-52.7,29.1
LIVE,500,1000.0,0.5,76,31,39,6,0.443,22.0,94,32,58,4,0.356,18.5,12,3,7,2,0.3,11.0,175.2,-52.7,29.1
LIVE,500,,,76,26,49,1,0.347,14.0,94,25,68,1,0.269,14.0,12,3,7,2,0.3,10.0,174.7,-39.2,61.6
LIVE,500,,min,76,26,44,6,0.371,24.0,94,24,63,7,0.276,21.5,12,1,7,4,0.125,6.0,174.7,-39.2,61.6
LIVE,500,,0.25,76,26,44,6,0.371,24.0,94,23,63,8,0.267,31.0,12,2,7,3,0.222,14.5,174.7,-39.2,61.6
LIVE,500,,0.5,76,27,45,4,0.375,17.0,94,26,65,3,0.286,15.5,12,2,7,3,0.222,8.5,174.7,-39.2,61.6
LIVE,750,1000.0,,76,21,53,2,0.284,12.0,94,22,70,2,0.239,13.5,12,2,9,1,0.182,8.0,249.1,-94.0,22.2
LIVE,750,1000.0,min,76,16,48,12,0.25,28.0,94,16,65,13,0.198,59.5,12,1,7,4,0.125,8.0,249.1,-94.0,22.2
LIVE,750,1000.0,0.25,76,20,48,8,0.294,21.5,94,21,65,8,0.244,39.0,12,1,7,4,0.125,6.0,249.1,-94.0,22.2
LIVE,750,1000.0,0.5,76,23,50,3,0.315,14.0,94,24,67,3,0.264,16.0,12,2,9,1,0.182,9.0,249.1,-94.0,22.2
LIVE,750,,,76,21,55,0,0.276,11.0,94,23,71,0,0.245,13.0,12,3,8,1,0.273,10.0,250.5,-54.8,94.1
LIVE,750,,min,76,15,50,11,0.231,19.0,94,16,66,12,0.195,59.5,12,1,7,4,0.125,8.0,250.5,-54.8,94.1
LIVE,750,,0.25,76,19,50,7,0.275,19.0,94,21,66,7,0.241,29.0,12,1,7,4,0.125,6.0,250.5,-54.8,94.1
LIVE,750,,0.5,76,22,52,2,0.297,14.5,94,24,68,2,0.261,16.0,12,2,7,3,0.222,9.0,250.5,-54.8,94.1
LIVE,1000,1000.0,,76,14,60,2,0.189,15.0,94,15,77,2,0.163,15.0,12,0,11,1,0.0,,298.2,-96.0,-139.4
LIVE,1000,1000.0,min,76,12,47,17,0.203,133.0,94,11,62,21,0.151,159.0,12,0,7,5,0.0,,298.2,-96.0,-139.4
LIVE,1000,1000.0,0.25,76,20,47,9,0.299,34.0,94,23,62,9,0.271,47.0,12,1,7,4,0.125,8.0,298.2,-96.0,-139.4
LIVE,1000,1000.0,0.5,76,22,50,4,0.306,19.5,94,24,65,5,0.27,27.0,12,2,9,1,0.182,9.5,298.2,-96.0,-139.4
LIVE,1000,,,76,16,60,0,0.211,10.0,94,17,77,0,0.181,11.0,12,3,8,1,0.273,10.0,349.3,-78.4,123.3
LIVE,1000,,min,76,12,44,20,0.214,91.5,94,13,59,22,0.181,86.0,12,0,7,5,0.0,,349.3,-78.4,123.3
LIVE,1000,,0.25,76,21,45,10,0.318,20.0,94,24,60,10,0.286,38.0,12,1,7,4,0.125,8.0,349.3,-78.4,123.3
LIVE,1000,,0.5,76,22,52,2,0.297,13.0,94,26,66,2,0.283,15.0,12,2,8,2,0.2,8.5,349.3,-78.4,123.3
LIVE+MA100,250,1000.0,,76,43,31,2,0.581,62.0,94,49,43,2,0.533,56.0,12,3,6,3,0.333,17.0,58.3,14.6,18.8
LIVE+MA100,250,1000.0,min,76,43,31,2,0.581,53.0,94,49,43,2,0.533,49.0,12,3,6,3,0.333,13.0,58.3,14.6,18.8
LIVE+MA100,250,1000.0,0.25,76,43,31,2,0.581,53.0,94,49,43,2,0.533,49.0,12,3,6,3,0.333,13.0,58.3,14.6,18.8
LIVE+MA100,250,1000.0,0.5,76,43,31,2,0.581,64.0,94,49,43,2,0.533,56.0,12,3,6,3,0.333,13.0,58.3,14.6,18.8
LIVE+MA100,250,,,76,43,28,5,0.606,62.0,94,49,42,3,0.538,56.0,12,3,5,4,0.375,17.0,65.4,14.6,42.4
LIVE+MA100,250,,min,76,43,28,5,0.606,53.0,94,49,42,3,0.538,49.0,12,3,5,4,0.375,13.0,65.4,14.6,42.4
LIVE+MA100,250,,0.25,76,43,28,5,0.606,53.0,94,49,42,3,0.538,49.0,12,3,5,4,0.375,13.0,65.4,14.6,42.4
LIVE+MA100,250,,0.5,76,43,28,5,0.606,64.0,94,49,42,3,0.538,56.0,12,3,5,4,0.375,13.0,65.4,14.6,42.4
LIVE+MA100,375,1000.0,,76,38,37,1,0.507,26.0,94,44,49,1,0.473,38.0,12,3,7,2,0.3,11.0,101.4,1.5,3.7
LIVE+MA100,375,1000.0,min,76,25,31,20,0.446,28.0,94,39,45,10,0.464,48.0,12,4,6,2,0.4,13.5,101.4,1.5,3.7
LIVE+MA100,375,1000.0,0.25,76,25,31,20,0.446,28.0,94,39,45,10,0.464,48.0,12,4,6,2,0.4,13.5,101.4,1.5,3.7
LIVE+MA100,375,1000.0,0.5,76,35,31,10,0.53,34.0,94,44,45,5,0.494,44.0,12,4,6,2,0.4,12.5,101.4,1.5,3.7
LIVE+MA100,375,,,76,38,37,1,0.507,26.0,94,44,49,1,0.473,37.5,12,4,6,2,0.4,12.0,109.5,18.3,59.0
LIVE+MA100,375,,min,76,25,34,17,0.424,29.0,94,38,45,11,0.458,47.5,12,4,6,2,0.4,13.5,109.5,18.3,59.0
LIVE+MA100,375,,0.25,76,25,34,17,0.424,29.0,94,38,45,11,0.458,47.5,12,4,6,2,0.4,13.5,109.5,18.3,59.0
LIVE+MA100,375,,0.5,76,35,35,6,0.5,34.0,94,44,45,5,0.494,44.5,12,4,6,2,0.4,12.5,109.5,18.3,59.0
LIVE+MA100,500,1000.0,,76,37,38,1,0.493,21.0,94,41,52,1,0.441,25.0,12,3,8,1,0.273,11.0,153.1,17.3,58.2
LIVE+MA100,500,1000.0,min,76,25,35,16,0.417,29.0,94,26,49,19,0.347,59.0,12,3,7,2,0.3,23.0,153.1,17.3,58.2
LIVE+MA100,500,1000.0,0.25,76,24,35,17,0.407,29.0,94,25,49,20,0.338,34.0,12,3,7,2,0.3,15.0,153.1,17.3,58.2
LIVE+MA100,500,1000.0,0.5,76,36,39,1,0.48,27.0,94,40,53,1,0.43,41.0,12,3,7,2,0.3,11.0,153.1,17.3,58.2
LIVE+MA100,500,,,76,24,51,1,0.32,14.0,94,22,71,1,0.237,14.0,12,3,7,2,0.3,10.0,153.2,26.6,84.3
LIVE+MA100,500,,min,76,24,48,4,0.333,24.0,94,21,68,5,0.236,44.0,12,2,7,3,0.222,18.5,153.2,26.6,84.3
LIVE+MA100,500,,0.25,76,23,48,5,0.324,24.0,94,20,68,6,0.227,34.0,12,2,7,3,0.222,14.0,153.2,26.6,84.3
LIVE+MA100,500,,0.5,76,26,49,1,0.347,19.5,94,24,69,1,0.258,16.5,12,2,7,3,0.222,8.5,153.2,26.6,84.3
LIVE+MA100,750,1000.0,,76,21,54,1,0.28,12.0,94,22,71,1,0.237,13.5,12,2,9,1,0.182,8.0,220.9,21.7,64.4
LIVE+MA100,750,1000.0,min,76,14,51,11,0.215,18.0,94,15,68,11,0.181,53.0,12,1,7,4,0.125,8.0,220.9,21.7,64.4
LIVE+MA100,750,1000.0,0.25,76,18,51,7,0.261,21.5,94,19,68,7,0.218,39.0,12,1,7,4,0.125,6.0,220.9,21.7,64.4
LIVE+MA100,750,1000.0,0.5,76,22,52,2,0.297,18.5,94,23,69,2,0.25,19.0,12,2,9,1,0.182,9.0,220.9,21.7,64.4
LIVE+MA100,750,,,76,20,56,0,0.263,10.5,94,22,72,0,0.234,12.5,12,3,8,1,0.273,10.0,218.6,41.2,126.7
LIVE+MA100,750,,min,76,14,52,10,0.212,19.0,94,16,68,10,0.19,59.5,12,1,7,4,0.125,8.0,218.6,41.2,126.7
LIVE+MA100,750,,0.25,76,18,52,6,0.257,21.5,94,19,68,7,0.218,49.0,12,1,7,4,0.125,6.0,218.6,41.2,126.7
LIVE+MA100,750,,0.5,76,22,53,1,0.293,18.5,94,24,69,1,0.258,21.5,12,2,7,3,0.222,9.0,218.6,41.2,126.7
LIVE+MA100,1000,1000.0,,76,14,60,2,0.189,15.0,94,15,77,2,0.163,20.0,12,0,11,1,0.0,,293.6,23.9,-101.1
LIVE+MA100,1000,1000.0,min,76,11,50,15,0.18,109.0,94,11,65,18,0.145,105.0,12,0,7,5,0.0,,293.6,23.9,-101.1
LIVE+MA100,1000,1000.0,0.25,76,19,52,5,0.268,44.0,94,22,67,5,0.247,53.5,12,1,7,4,0.125,8.0,293.6,23.9,-101.1
LIVE+MA100,1000,1000.0,0.5,76,23,51,2,0.311,34.0,94,25,66,3,0.275,33.0,12,2,9,1,0.182,9.5,293.6,23.9,-101.1
LIVE+MA100,1000,,,76,15,61,0,0.197,10.0,94,16,78,0,0.17,10.5,12,3,8,1,0.273,10.0,306.5,53.2,168.7
LIVE+MA100,1000,,min,76,12,47,17,0.203,80.0,94,12,62,20,0.162,93.5,12,0,7,5,0.0,,306.5,53.2,168.7
LIVE+MA100,1000,,0.25,76,19,51,6,0.271,39.0,94,23,66,5,0.258,40.0,12,1,7,4,0.125,8.0,306.5,53.2,168.7
LIVE+MA100,1000,,0.5,76,21,54,1,0.28,14.0,94,25,68,1,0.269,20.0,12,2,8,2,0.2,8.5,306.5,53.2,168.7
DISP_FV,250,1000.0,,76,17,56,3,0.233,35.0,94,16,75,3,0.176,45.5,12,0,8,4,0.0,,57.0,47.6,-47.0
DISP_FV,250,1000.0,min,76,15,51,10,0.227,60.0,94,16,68,10,0.19,53.5,12,0,7,5,0.0,,57.0,47.6,-47.0
DISP_FV,250,1000.0,0.25,76,15,51,10,0.227,60.0,94,16,68,10,0.19,53.5,12,0,7,5,0.0,,57.0,47.6,-47.0
DISP_FV,250,1000.0,0.5,76,12,52,12,0.188,41.0,94,19,69,6,0.216,53.0,12,0,7,5,0.0,,57.0,47.6,-47.0
DISP_FV,250,,,76,18,55,3,0.247,35.5,94,28,63,3,0.308,53.5,12,0,8,4,0.0,,48.1,135.8,11.1
DISP_FV,250,,min,76,18,49,9,0.269,156.5,94,25,57,12,0.305,55.0,12,0,6,6,0.0,,48.1,135.8,11.1
DISP_FV,250,,0.25,76,18,49,9,0.269,156.5,94,25,57,12,0.305,55.0,12,0,6,6,0.0,,48.1,135.8,11.1
DISP_FV,250,,0.5,76,12,52,12,0.188,23.0,94,32,60,2,0.348,73.0,12,0,6,6,0.0,,48.1,135.8,11.1
DISP_FV,375,1000.0,,76,16,59,1,0.213,29.0,94,14,79,1,0.151,31.5,12,0,9,3,0.0,,89.5,27.5,3.8
DISP_FV,375,1000.0,min,76,13,50,13,0.206,17.0,94,22,65,7,0.253,57.0,12,0,7,5,0.0,,89.5,27.5,3.8
DISP_FV,375,1000.0,0.25,76,13,50,13,0.206,17.0,94,22,65,7,0.253,57.0,12,0,7,5,0.0,,89.5,27.5,3.8
DISP_FV,375,1000.0,0.5,76,15,57,4,0.208,19.0,94,20,71,3,0.22,27.0,12,0,7,5,0.0,,89.5,27.5,3.8
DISP_FV,375,,,76,14,61,1,0.187,21.5,94,17,76,1,0.183,32.0,12,0,10,2,0.0,,84.5,183.4,13.0
DISP_FV,375,,min,76,13,52,11,0.2,17.0,94,20,66,8,0.233,75.5,12,0,7,5,0.0,,84.5,183.4,13.0
DISP_FV,375,,0.25,76,13,52,11,0.2,17.0,94,20,66,8,0.233,75.5,12,0,7,5,0.0,,84.5,183.4,13.0
DISP_FV,375,,0.5,76,13,59,4,0.181,19.0,94,20,72,2,0.217,23.0,12,0,7,5,0.0,,84.5,183.4,13.0
DISP_FV,500,1000.0,,76,17,57,2,0.23,25.0,94,15,77,2,0.163,29.0,12,0,8,4,0.0,,170.2,76.1,163.7
DISP_FV,500,1000.0,min,76,15,43,18,0.259,16.0,94,17,61,16,0.218,74.0,12,0,7,5,0.0,,170.2,76.1,163.7
DISP_FV,500,1000.0,0.25,76,15,44,17,0.254,16.0,94,22,62,10,0.262,86.5,12,0,7,5,0.0,,170.2,76.1,163.7
DISP_FV,500,1000.0,0.5,76,20,53,3,0.274,20.0,94,20,72,2,0.217,27.5,12,0,9,3,0.0,,170.2,76.1,163.7
DISP_FV,500,,,76,12,63,1,0.16,24.5,94,14,79,1,0.151,35.0,12,0,11,1,0.0,,117.6,263.2,19.0
DISP_FV,500,,min,76,12,49,15,0.197,16.0,94,20,62,12,0.244,62.0,12,0,9,3,0.0,,117.6,263.2,19.0
DISP_FV,500,,0.25,76,10,50,16,0.167,13.0,94,21,64,9,0.247,50.0,12,0,9,3,0.0,,117.6,263.2,19.0
DISP_FV,500,,0.5,76,14,59,3,0.192,15.0,94,24,69,1,0.258,23.0,12,1,9,2,0.1,6.0,117.6,263.2,19.0
DISP_FV,750,1000.0,,76,13,62,1,0.173,19.0,94,11,82,1,0.118,19.0,12,0,10,2,0.0,,238.9,127.1,247.1
DISP_FV,750,1000.0,min,76,9,49,18,0.155,14.0,94,13,65,16,0.167,92.0,12,0,8,4,0.0,,238.9,127.1,247.1
DISP_FV,750,1000.0,0.25,76,11,58,7,0.159,44.0,94,16,71,7,0.184,78.0,12,0,8,4,0.0,,238.9,127.1,247.1
DISP_FV,750,1000.0,0.5,76,15,58,3,0.205,22.0,94,16,76,2,0.174,29.0,12,0,10,2,0.0,,238.9,127.1,247.1
DISP_FV,750,,,76,12,63,1,0.16,38.5,94,12,81,1,0.129,18.0,12,0,11,1,0.0,,165.8,399.0,30.1
DISP_FV,750,,min,76,10,50,16,0.167,34.5,94,15,64,15,0.19,92.0,12,0,9,3,0.0,,165.8,399.0,30.1
DISP_FV,750,,0.25,76,11,57,8,0.162,16.0,94,22,67,5,0.247,59.5,12,0,9,3,0.0,,165.8,399.0,30.1
DISP_FV,750,,0.5,76,15,59,2,0.203,17.0,94,19,74,1,0.204,22.0,12,0,11,1,0.0,,165.8,399.0,30.1
DISP_FV,1000,1000.0,,76,11,63,2,0.149,19.0,94,11,81,2,0.12,19.0,12,0,11,1,0.0,,289.6,-67.5,-38.6
DISP_FV,1000,1000.0,min,76,6,49,21,0.109,175.5,94,12,64,18,0.158,119.0,12,0,8,4,0.0,,289.6,-67.5,-38.6
DISP_FV,1000,1000.0,0.25,76,15,56,5,0.211,44.0,94,22,71,1,0.237,51.5,12,0,10,2,0.0,,289.6,-67.5,-38.6
DISP_FV,1000,1000.0,0.5,76,17,56,3,0.233,24.0,94,16,72,6,0.182,22.5,12,0,9,3,0.0,,289.6,-67.5,-38.6
DISP_FV,1000,,,76,10,66,0,0.132,28.0,94,10,84,0,0.106,18.0,12,0,12,0,0.0,,235.3,526.3,38.0
DISP_FV,1000,,min,76,6,51,19,0.105,175.5,94,12,66,16,0.154,119.0,12,0,9,3,0.0,,235.3,526.3,38.0
DISP_FV,1000,,0.25,76,11,62,3,0.151,14.0,94,19,72,3,0.209,26.0,12,0,10,2,0.0,,235.3,526.3,38.0
DISP_FV,1000,,0.5,76,12,63,1,0.16,15.0,94,17,77,0,0.181,19.0,12,0,12,0,0.0,,235.3,526.3,38.0
DISP_FV+MA100,250,1000.0,,76,22,51,3,0.301,57.5,94,25,66,3,0.275,84.0,12,0,8,4,0.0,,46.5,101.7,-19.0
DISP_FV+MA100,250,1000.0,min,76,24,47,5,0.338,39.5,94,26,61,7,0.299,46.0,12,0,7,5,0.0,,46.5,101.7,-19.0
DISP_FV+MA100,250,1000.0,0.25,76,24,47,5,0.338,39.5,94,26,61,7,0.299,46.0,12,0,7,5,0.0,,46.5,101.7,-19.0
DISP_FV+MA100,250,1000.0,0.5,76,22,47,7,0.319,35.0,94,26,61,7,0.299,45.0,12,0,7,5,0.0,,46.5,101.7,-19.0
DISP_FV+MA100,250,,,76,23,50,3,0.315,49.0,94,32,59,3,0.352,63.5,12,0,8,4,0.0,,51.0,150.3,39.1
DISP_FV+MA100,250,,min,76,27,44,5,0.38,37.0,94,36,52,6,0.409,53.5,12,0,6,6,0.0,,51.0,150.3,39.1
DISP_FV+MA100,250,,0.25,76,27,44,5,0.38,37.0,94,36,52,6,0.409,53.5,12,0,6,6,0.0,,51.0,150.3,39.1
DISP_FV+MA100,250,,0.5,76,25,44,7,0.362,33.0,94,38,52,4,0.422,51.0,12,1,6,5,0.143,35.0,51.0,150.3,39.1
DISP_FV+MA100,375,1000.0,,76,24,51,1,0.32,28.5,94,24,69,1,0.258,33.0,12,0,9,3,0.0,,81.8,87.4,31.3
DISP_FV+MA100,375,1000.0,min,76,22,42,12,0.344,77.5,94,32,56,6,0.364,101.5,12,0,7,5,0.0,,81.8,87.4,31.3
DISP_FV+MA100,375,1000.0,0.25,76,22,42,12,0.344,77.5,94,32,56,6,0.364,101.5,12,0,7,5,0.0,,81.8,87.4,31.3
DISP_FV+MA100,375,1000.0,0.5,76,30,44,2,0.405,38.5,94,35,57,2,0.38,38.0,12,0,7,5,0.0,,81.8,87.4,31.3
DISP_FV+MA100,375,,,76,22,53,1,0.293,24.5,94,26,67,1,0.28,33.0,12,0,8,4,0.0,,88.2,207.9,54.4
DISP_FV+MA100,375,,min,76,22,44,10,0.333,85.0,94,30,57,7,0.345,111.0,12,0,7,5,0.0,,88.2,207.9,54.4
DISP_FV+MA100,375,,0.25,76,22,44,10,0.333,85.0,94,30,57,7,0.345,111.0,12,0,7,5,0.0,,88.2,207.9,54.4
