session,params,fit,nb_mean,nb_min,robust,n,tpd,R,R_trade,pfR,t,R_h1,R_h2,maxDD
ASIA,"{""offset"": 30, ""window"": 90, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 3.0, ""big_sl"": 10.5, ""big_tp"": 24.0, ""std_sl"": 6.0, ""std_tp"": 9.0, ""leg_gap"": 4.5, ""leg_sl"": 7.5, ""leg_tp"": 18.0, ""min_fv"": 45.0, ""min_bos"": 0.0, ""disp_pts"": 9.0, ""stack_gap"": 4.5}",0.389,-0.296,-1.0,-0.296,105,0.3,13.11,0.1249,1.112,0.389,8.71,4.4,-43.15
ASIA,"{""offset"": 30, ""window"": 90, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 3.0, ""big_sl"": 9.0, ""big_tp"": 34.5, ""std_sl"": 6.0, ""std_tp"": 18.0, ""leg_gap"": 6.0, ""leg_sl"": 10.5, ""leg_tp"": 42.0, ""min_fv"": 45.0, ""min_bos"": 1.5, ""disp_pts"": 9.0, ""stack_gap"": 6.0}",0.292,-0.179,-1.0,-0.179,104,0.3,10.01,0.0963,1.085,0.292,8.11,1.9,-46.55
ASIA,"{""offset"": 30, ""window"": 90, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": true, ""legs"": true, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 7.5, ""big_sl"": 12.0, ""big_tp"": 34.5, ""std_sl"": 9.0, ""std_tp"": 18.0, ""leg_gap"": 4.5, ""leg_sl"": 13.5, ""leg_tp"": 42.0, ""min_fv"": 60.0, ""min_bos"": 4.5, ""disp_pts"": 4.5, ""stack_gap"": 3.0}",0.241,-0.391,-1.0,-0.391,133,0.38,8.01,0.0602,1.083,0.241,1.4,6.61,-29.52
ASIA,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": false, ""vwap"": false, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""mixed"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 4.5, ""big_sl"": 9.0, ""big_tp"": 34.5, ""std_sl"": 9.0, ""std_tp"": 18.0, ""leg_gap"": 6.0, ""leg_sl"": 7.5, ""leg_tp"": 42.0, ""min_fv"": 60.0, ""min_bos"": 1.5, ""disp_pts"": 7.5, ""stack_gap"": 4.5}",0.113,-0.723,-1.0,-0.723,91,0.26,2.44,0.0268,1.031,0.113,1.46,0.98,-14.6
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 8.0, ""big_sl"": 20.0, ""big_tp"": 52.0, ""std_sl"": 14.0, ""std_tp"": 24.0, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 0.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",1.054,0.152,-1.0,0.152,153,0.44,40.89,0.2672,1.35,1.054,4.53,36.35,-32.86
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 2, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 4.0, ""big_sl"": 12.0, ""big_tp"": 40.0, ""std_sl"": 14.0, ""std_tp"": 20.0, ""leg_gap"": 6.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 4.0, ""disp_pts"": 6.0, ""stack_gap"": 8.0}",0.976,0.692,-1.0,0.692,147,0.42,45.26,0.3079,1.337,0.976,4.88,40.39,-29.91
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 200, ""big_thr"": 8.0, ""big_sl"": 14.0, ""big_tp"": 60.0, ""std_sl"": 14.0, ""std_tp"": 14.0, ""leg_gap"": 6.0, ""leg_sl"": 14.0, ""leg_tp"": 24.0, ""min_fv"": 60.0, ""min_bos"": 2.0, ""disp_pts"": 8.0, ""stack_gap"": 6.0}",0.603,-0.069,-1.0,-0.069,95,0.27,16.52,0.1739,1.187,0.603,0.44,16.08,-25.2
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 8.0, ""big_sl"": 12.0, ""big_tp"": 46.0, ""std_sl"": 10.0, ""std_tp"": 20.0, ""leg_gap"": 4.0, ""leg_sl"": 14.0, ""leg_tp"": 36.0, ""min_fv"": 60.0, ""min_bos"": 4.0, ""disp_pts"": 6.0, ""stack_gap"": 6.0}",0.536,-0.239,-1.0,-0.239,88,0.25,15.65,0.1778,1.169,0.536,4.12,11.52,-25.92
LDN,"{""offset"": 0, ""window"": 60, ""exit"": ""run"", ""open_trade"": false, ""vwap"": false, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 3, ""stack_trig"": ""bos"", ""stack_size"": 1.0, ""ma"": 200, ""big_thr"": 6.0, ""big_sl"": 16.0, ""big_tp"": 46.0, ""std_sl"": 8.0, ""std_tp"": 24.0, ""leg_gap"": 4.0, ""leg_sl"": 10.0, ""leg_tp"": 46.0, ""min_fv"": 60.0, ""min_bos"": 2.0, ""disp_pts"": 6.0, ""stack_gap"": 8.0}",0.484,0.114,-1.0,0.114,95,0.27,22.71,0.2391,1.216,0.484,5.66,17.05,-24.81
LDN,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": false, ""vwap"": true, ""legs"": false, ""leg_max"": 6, ""rev_mode"": ""disp_fv"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 6.0, ""big_sl"": 16.0, ""big_tp"": 32.0, ""std_sl"": 8.0, ""std_tp"": 14.0, ""leg_gap"": 6.0, ""leg_sl"": 14.0, ""leg_tp"": 46.0, ""min_fv"": 50.0, ""min_bos"": 4.0, ""disp_pts"": 6.0, ""stack_gap"": 4.0}",0.395,-0.197,-1.0,-0.197,161,0.46,17.59,0.1092,1.112,0.395,4.55,13.03,-39.99
