combo,risk,breaker,pstop,smart,trades_per_day,usd_train,cohorts,passed,failed,open,pass_rate,med_days,fail_daily,fail_max
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",750,2000.0,,near,0.66,93578,76,70,0,6,1.0,71.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,3000.0,,near,0.68,98038,76,65,0,11,1.0,63.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,4000.0,,near,0.68,98038,76,65,0,11,1.0,63.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,3000.0,,near,0.68,98038,76,65,0,11,1.0,63.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",750,2000.0,,,0.66,93578,76,64,0,12,1.0,73.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,3000.0,,,0.68,98038,76,64,0,12,1.0,72.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,4000.0,,,0.68,98038,76,64,0,12,1.0,72.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,3000.0,,,0.68,98038,76,64,0,12,1.0,72.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",750,2000.0,,near,0.66,92715,76,61,0,15,1.0,67.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",750,3000.0,,near,0.66,92715,76,61,0,15,1.0,67.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",750,3000.0,,near,0.69,92209,76,60,0,16,1.0,59.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,,,near,0.74,94232,76,59,0,17,1.0,57.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,2000.0,,near,0.74,94232,76,59,0,17,1.0,57.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,3000.0,,near,0.74,94232,76,59,0,17,1.0,57.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",750,2000.0,,,0.66,92715,76,58,0,18,1.0,68.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",750,3000.0,,,0.66,92715,76,58,0,18,1.0,68.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,,,,0.74,94232,76,58,0,18,1.0,56.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,2000.0,,,0.74,94232,76,58,0,18,1.0,56.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,3000.0,,,0.74,94232,76,58,0,18,1.0,56.5,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,4000.0,,near,0.64,94037,76,57,0,19,1.0,56.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,3000.0,,near,0.64,94037,76,57,0,19,1.0,56.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,4000.0,,near,0.64,94037,76,57,0,19,1.0,56.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,,,near,0.64,94037,76,57,0,19,1.0,56.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,4000.0,,near,0.64,94037,76,57,0,19,1.0,56.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,4000.0,,,0.64,94037,76,55,0,21,1.0,69.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,3000.0,,,0.64,94037,76,55,0,21,1.0,69.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,4000.0,,,0.64,94037,76,55,0,21,1.0,69.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,,,,0.64,94037,76,55,0,21,1.0,69.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,4000.0,,,0.64,94037,76,55,0,21,1.0,69.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",1000,3000.0,,near,0.66,98501,76,55,0,21,1.0,49.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",1000,3000.0,,near,0.66,98501,76,55,0,21,1.0,49.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",1000,3000.0,,,0.66,98501,76,54,0,22,1.0,56.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",1000,3000.0,,,0.66,98501,76,54,0,22,1.0,56.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,,,,0.66,62385,76,51,0,25,1.0,108.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,,,near,0.66,62385,76,51,0,25,1.0,101.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,4000.0,,,0.66,62385,76,51,0,25,1.0,108.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,4000.0,,near,0.66,62385,76,51,0,25,1.0,101.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,,,,0.66,62385,76,51,0,25,1.0,108.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,,,near,0.66,62385,76,51,0,25,1.0,101.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",750,3000.0,,,0.69,92209,76,51,0,25,1.0,73.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",500,4000.0,,,0.75,65207,76,49,0,27,1.0,91.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",500,4000.0,,near,0.75,65207,76,49,0,27,1.0,81.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",750,3000.0,,,0.81,93477,76,49,0,27,1.0,71.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",500,4000.0,,,0.69,61474,76,49,0,27,1.0,95.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",500,4000.0,,near,0.69,61474,76,49,0,27,1.0,92.0,0,0
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",500,4000.0,,,0.69,61474,76,49,0,27,1.0,95.0,0,0
