baseline,risk,breaker,smart,train_cohorts,train_passed,train_failed,train_open,train_pass_rate,train_med_days,train_fail_daily,train_fail_max,search_cohorts,search_passed,search_failed,search_open,search_pass_rate,search_med_days,search_fail_daily,search_fail_max,final_cohorts,final_passed,final_failed,final_open,final_pass_rate,final_med_days,final_fail_daily,final_fail_max,train_usd_per_day,held_usd_per_day,final_usd_per_day
LIVE,250,2000.0,,76,31,0,45,1.0,170.0,0,0,94,44,0,50,1.0,197.5,0,0,9,0,0,9,0.0,,0,0,103.8,-21.5,221.5
LIVE,250,2000.0,near,76,37,0,39,1.0,162.0,0,0,94,47,0,47,1.0,192.0,0,0,9,0,0,9,0.0,,0,0,103.8,-21.5,221.5
LIVE,250,,,76,30,0,46,1.0,169.5,0,0,94,37,0,57,1.0,184.0,0,0,9,0,0,9,0.0,,0,0,102.6,-21.5,221.5
LIVE,250,,near,76,37,0,39,1.0,164.0,0,0,94,44,0,50,1.0,192.5,0,0,9,0,0,9,0.0,,0,0,102.6,-21.5,221.5
LIVE,500,2000.0,,76,57,0,19,1.0,77.0,0,0,94,63,4,27,0.94,88.0,0,4,9,2,0,7,1.0,33.5,0,0,209.7,-37.0,352.1
LIVE,500,2000.0,near,76,58,0,18,1.0,68.0,0,0,94,67,4,23,0.944,71.0,0,4,9,2,0,7,1.0,32.5,0,0,209.7,-37.0,352.1
LIVE,500,,,76,43,17,16,0.717,75.0,17,0,94,52,21,21,0.712,85.0,19,2,9,3,0,6,1.0,35.0,0,0,205.3,-43.0,443.0
LIVE,500,,near,76,46,16,14,0.742,61.5,16,0,94,62,15,17,0.805,71.0,14,1,9,3,0,6,1.0,35.0,0,0,205.3,-43.0,443.0
LIVE,750,2000.0,,76,49,13,14,0.79,36.0,0,13,94,58,30,6,0.659,38.5,0,30,9,3,0,6,1.0,18.0,0,0,305.6,-97.9,435.8
LIVE,750,2000.0,near,76,49,14,13,0.778,32.0,0,14,94,61,28,5,0.685,37.0,0,28,9,3,0,6,1.0,17.0,0,0,305.6,-97.9,435.8
LIVE,750,,,76,45,17,14,0.726,36.0,11,6,94,53,31,10,0.631,39.0,15,16,9,4,0,5,1.0,21.5,0,0,307.9,-64.5,664.5
LIVE,750,,near,76,47,15,14,0.758,32.0,9,6,94,58,25,11,0.699,36.5,12,13,9,4,0,5,1.0,19.0,0,0,307.9,-64.5,664.5
LIVE,1000,2000.0,,76,47,20,9,0.701,29.0,0,20,94,49,40,5,0.551,33.0,0,40,9,4,0,5,1.0,18.5,0,0,352.5,-228.8,694.4
LIVE,1000,2000.0,near,76,51,16,9,0.761,28.0,0,16,94,54,35,5,0.607,27.0,0,35,9,4,0,5,1.0,17.0,0,0,352.5,-228.8,694.4
LIVE,1000,,,76,38,37,1,0.507,23.0,33,4,94,31,62,1,0.333,23.0,53,9,9,1,4,4,0.2,10.0,4,0,410.7,-86.0,886.1
LIVE,1000,,near,76,43,32,1,0.573,21.0,29,3,94,47,46,1,0.505,22.0,38,8,9,1,4,4,0.2,10.0,4,0,410.7,-86.0,886.1
LIVE,1500,2000.0,,76,36,39,1,0.48,16.5,9,30,94,33,60,1,0.355,16.0,17,43,9,4,2,3,0.667,11.5,0,2,492.1,-299.9,1126.2
LIVE,1500,2000.0,near,76,41,34,1,0.547,15.0,8,26,94,43,50,1,0.462,15.0,14,36,9,5,2,2,0.714,8.0,0,2,492.1,-299.9,1126.2
LIVE,1500,,,76,25,50,1,0.333,15.0,41,9,94,21,72,1,0.226,13.0,52,20,9,1,7,1,0.125,8.0,7,0,616.0,-129.0,1329.1
