combo,risk,breaker,pstop,smart,trades_per_day,usd_train,cohorts,passed,failed,open,pass_rate,med_days,fail_daily,fail_max,train_usd_per_day,held_usd_per_day,final_usd_per_day,search_cohorts,search_passed,search_failed,search_open,search_pass_rate,search_med_days,search_fail_daily,search_fail_max,final_cohorts,final_passed,final_failed,final_open,final_pass_rate,final_med_days,final_fail_daily,final_fail_max,NY_params,NY_train_Rday,NY_train_n,NY_held_Rday,NY_held_n,NY_final_Rday,NY_final_n,stress_usd_2016,stress_usd_2017,stress_usd_2018,stress_usd_2019,stress_usd_2020,stress_usd_2021,stress_usd_2022,stress_usd_2023,stress_cohorts,stress_passed,stress_failed,stress_open,stress_pass_rate,stress_med_days,stress_fail_daily,stress_fail_max,LDN_params,LDN_train_Rday,LDN_train_n,LDN_held_Rday,LDN_held_n,LDN_final_Rday,LDN_final_n
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",750,2000.0,,near,0.66,93578,76,70,0,6,1.0,71.0,0,0,266.6,-63.2,-81.5,94,84,3,7,0.966,87.0,0,3,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 3, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 25.0, ""big_tp"": 150.0, ""std_sl"": 25.0, ""std_tp"": 30.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 90.0, ""min_fv"": 150.0, ""min_bos"": 5.0, ""disp_pts"": 25.0, ""stack_gap"": 15.0}",0.355,230,-0.084,55,-0.109,34,-5574,-8906,-845,-5105,-19299,-11060,2117,-5060,381,10,356,15,0.027,289.5,0,356,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,3000.0,,near,0.68,98038,76,65,0,11,1.0,63.0,0,0,279.3,-54.6,-70.4,94,86,0,8,1.0,72.0,0,0,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 120, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 25.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 30.0, ""std_tp"": 50.0, ""leg_gap"": 15.0, ""leg_sl"": 35.0, ""leg_tp"": 90.0, ""min_fv"": 40.0, ""min_bos"": 15.0, ""disp_pts"": 40.0, ""stack_gap"": 15.0}",0.372,238,-0.073,56,-0.094,19,-3596,-21024,6233,-1113,2741,1046,14063,-1863,381,156,202,23,0.436,277.5,0,202,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,4000.0,,near,0.68,98038,76,65,0,11,1.0,63.0,0,0,279.3,-54.6,-70.4,94,86,0,8,1.0,72.0,0,0,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 120, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""bos"", ""stack_size"": 0.5, ""ma"": 50, ""big_thr"": 25.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 30.0, ""std_tp"": 50.0, ""leg_gap"": 15.0, ""leg_sl"": 35.0, ""leg_tp"": 90.0, ""min_fv"": 40.0, ""min_bos"": 15.0, ""disp_pts"": 40.0, ""stack_gap"": 15.0}",0.372,238,-0.073,56,-0.094,19,-3596,-21024,6233,-1113,2741,1046,14063,-1863,381,156,202,23,0.436,277.5,0,202,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",750,2000.0,,near,0.66,92715,76,61,0,15,1.0,67.0,0,0,264.1,-24.9,164.0,94,74,10,10,0.881,69.0,0,10,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 15.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 50.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 60.0, ""min_fv"": 125.0, ""min_bos"": 20.0, ""disp_pts"": 40.0, ""stack_gap"": 20.0}",0.352,230,-0.033,55,0.219,34,-2972,-19892,2327,-3253,-3954,-1555,11677,-4880,381,83,286,12,0.225,170.0,0,286,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",750,3000.0,,near,0.66,92715,76,61,0,15,1.0,67.0,0,0,264.1,-24.9,164.0,94,74,10,10,0.881,69.0,0,10,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 90, ""exit"": ""run"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 1, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 1.0, ""ma"": 100, ""big_thr"": 15.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 50.0, ""leg_gap"": 15.0, ""leg_sl"": 45.0, ""leg_tp"": 60.0, ""min_fv"": 125.0, ""min_bos"": 20.0, ""disp_pts"": 40.0, ""stack_gap"": 20.0}",0.352,230,-0.033,55,0.219,34,-2972,-19892,2327,-3253,-3954,-1555,11677,-4880,381,83,286,12,0.225,170.0,0,286,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",750,3000.0,,near,0.69,92209,76,60,0,16,1.0,59.5,0,0,262.7,-21.5,143.5,94,71,14,9,0.835,56.0,0,14,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 120, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": false, ""maxpos"": 2, ""stack_trig"": ""both"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 25.0, ""big_sl"": 25.0, ""big_tp"": 115.0, ""std_sl"": 20.0, ""std_tp"": 35.0, ""leg_gap"": 20.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 80.0, ""min_bos"": 15.0, ""disp_pts"": 30.0, ""stack_gap"": 15.0}",0.35,242,-0.029,59,0.191,35,-4065,-12797,-4673,-6324,-26426,-6125,6365,9208,381,57,267,57,0.176,243.0,0,267,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,,,near,0.74,94232,76,59,0,17,1.0,57.0,0,0,268.5,-35.5,265.7,94,76,3,15,0.962,66.5,0,3,9,1,0,8,1.0,26.0,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 42.0, ""leg_gap"": 10.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 100.0, ""min_bos"": 0.0, ""disp_pts"": 20.0, ""stack_gap"": 15.0}",0.358,260,-0.047,64,0.354,44,-3155,-5135,1569,-2123,4384,3180,7998,-8154,381,99,255,27,0.28,305.0,0,255,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,2000.0,,near,0.74,94232,76,59,0,17,1.0,57.0,0,0,268.5,-35.5,265.7,94,76,3,15,0.962,66.5,0,3,9,1,0,8,1.0,26.0,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 42.0, ""leg_gap"": 10.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 100.0, ""min_bos"": 0.0, ""disp_pts"": 20.0, ""stack_gap"": 15.0}",0.358,260,-0.047,64,0.354,44,-3155,-5135,1569,-2123,4384,3180,7998,-8154,381,99,255,27,0.28,305.0,0,255,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,3000.0,,near,0.74,94232,76,59,0,17,1.0,57.0,0,0,268.5,-35.5,265.7,94,76,3,15,0.962,66.5,0,3,9,1,0,8,1.0,26.0,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": true, ""leg_max"": 2, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 2, ""stack_trig"": ""fvg"", ""stack_size"": 0.5, ""ma"": 100, ""big_thr"": 10.0, ""big_sl"": 30.0, ""big_tp"": 115.0, ""std_sl"": 35.0, ""std_tp"": 42.0, ""leg_gap"": 10.0, ""leg_sl"": 45.0, ""leg_tp"": 140.0, ""min_fv"": 100.0, ""min_bos"": 0.0, ""disp_pts"": 20.0, ""stack_gap"": 15.0}",0.358,260,-0.047,64,0.354,44,-3155,-5135,1569,-2123,4384,3180,7998,-8154,381,99,255,27,0.28,305.0,0,255,,,,,,,
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,4000.0,,near,0.64,94037,76,57,0,19,1.0,56.0,0,0,267.9,34.5,-160.1,94,74,1,19,0.987,62.0,0,1,9,0,0,9,0.0,,0,0,"{""offset"": 0, ""window"": 60, ""exit"": ""hard"", ""open_trade"": true, ""vwap"": true, ""legs"": false, ""leg_max"": 4, ""rev_mode"": ""off"", ""wait_open"": true, ""maxpos"": 1, ""stack_trig"": ""both"", ""stack_size"": 1.0, ""ma"": 50, ""big_thr"": 15.0, ""big_sl"": 35.0, ""big_tp"": 115.0, ""std_sl"": 25.0, ""std_tp"": 35.0, ""leg_gap"": 20.0, ""leg_sl"": 25.0, ""leg_tp"": 60.0, ""min_fv"": 60.0, ""min_bos"": 20.0, ""disp_pts"": 15.0, ""stack_gap"": 10.0}",0.268,223,0.035,52,-0.16,18,-5521,-11811,5818,620,-10159,14195,8508,8844,381,174,185,22,0.485,211.0,0,185,,,,,,,
