combo,risk,breaker,smart,search_pass60,med_days,train_usd,held_usd,final_usd
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",750,2000.0,near,0.284,36.0,266.6,-63.2,-81.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,3000.0,near,0.383,36.0,279.3,-54.6,-70.4
"{""ASIA"": null, ""LDN"": null, ""NY"": 10}",750,4000.0,near,0.383,36.0,279.3,-54.6,-70.4
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",750,2000.0,near,0.37,36.5,264.1,-24.9,164.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 4}",750,3000.0,near,0.37,36.5,264.1,-24.9,164.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",750,3000.0,near,0.42,39.5,262.7,-21.5,143.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,,near,0.346,35.5,268.5,-35.5,265.7
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,2000.0,near,0.346,35.5,268.5,-35.5,265.7
"{""ASIA"": null, ""LDN"": null, ""NY"": 6}",750,3000.0,near,0.346,35.5,268.5,-35.5,265.7
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,4000.0,near,0.42,36.0,267.9,34.5,-160.1
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,3000.0,near,0.42,36.0,267.9,34.5,-160.1
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",1000,,near,0.42,36.0,267.9,34.5,-160.1
"{""ASIA"": null, ""LDN"": null, ""NY"": 11}",1000,3000.0,near,0.58,40.0,280.6,26.3,-187.5
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,,,0.16,39.0,177.7,-42.2,-54.4
"{""ASIA"": null, ""LDN"": null, ""NY"": 5}",500,4000.0,,0.16,39.0,177.7,-42.2,-54.4
"{""ASIA"": null, ""LDN"": null, ""NY"": 7}",500,4000.0,,0.173,38.5,185.8,-35.5,81.4
"{""ASIA"": null, ""LDN"": null, ""NY"": 0}",750,3000.0,,0.247,28.5,266.3,-150.9,-199.8
"{""ASIA"": null, ""LDN"": null, ""NY"": 1}",500,4000.0,,0.16,48.0,175.1,-14.3,95.7
"{""ASIA"": null, ""LDN"": null, ""NY"": 2}",750,2000.0,near,0.247,33.5,200.9,25.9,-120.0
"{""ASIA"": null, ""LDN"": null, ""NY"": 8}",750,3000.0,,0.272,41.0,230.9,-89.0,69.3
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,,near,0.148,44.5,121.1,-52.9,-49.1
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,3000.0,near,0.148,44.5,121.1,-52.9,-49.1
"{""ASIA"": null, ""LDN"": 0, ""NY"": 5}",250,4000.0,near,0.148,44.5,121.1,-52.9,-49.1
"{""ASIA"": null, ""LDN"": 2, ""NY"": 1}",250,3000.0,,0.0,,103.7,-67.0,-36.5
"{""ASIA"": null, ""LDN"": 2, ""NY"": 4}",250,,near,0.025,48.0,104.2,-68.1,-29.7
"{""ASIA"": null, ""LDN"": 2, ""NY"": 5}",250,2000.0,,0.025,51.5,106.7,-80.9,-111.6
"{""ASIA"": null, ""LDN"": 2, ""NY"": 5}",250,,,0.025,51.5,105.0,-80.9,-111.6
"{""ASIA"": null, ""LDN"": 2, ""NY"": 6}",250,,,0.012,56.0,105.6,-71.7,4.1
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,,,0.025,48.0,109.1,-77.6,-43.7
"{""ASIA"": null, ""LDN"": 2, ""NY"": 7}",250,3000.0,,0.025,48.0,109.1,-77.6,-43.7
