track,inst,tag,sel_folds,robust_max,params,short_train0_days,short_train0_n,short_train0_Rday,short_train0_t,short_train0_maxDD,short_held0_days,short_held0_n,short_held0_Rday,short_held0_t,short_held0_maxDD,short_win_days,short_win_n,short_win_Rday,short_win_t,short_win_maxDD,final_days,final_n,final_Rday,final_t,final_maxDD,stress_days,stress_n,stress_Rday,stress_t,stress_maxDD,long_train0_days,long_train0_n,long_train0_Rday,long_train0_t,long_train0_maxDD,long_held0_days,long_held0_n,long_held0_Rday,long_held0_t,long_held0_maxDD,long_train1_days,long_train1_n,long_train1_Rday,long_train1_t,long_train1_maxDD,long_held1_days,long_held1_n,long_held1_Rday,long_held1_t,long_held1_maxDD,long_train2_days,long_train2_n,long_train2_Rday,long_train2_t,long_train2_maxDD,long_held2_days,long_held2_n,long_held2_Rday,long_held2_t,long_held2_maxDD,long_train3_days,long_train3_n,long_train3_Rday,long_train3_t,long_train3_maxDD,long_held3_days,long_held3_n,long_held3_Rday,long_held3_t,long_held3_maxDD,long_win_days,long_win_n,long_win_Rday,long_win_t,long_win_maxDD,pre2024_Rday,since2024_Rday,R_2016,R_2017,R_2018,R_2019,R_2020,R_2021,R_2022,R_2023,R_2024,R_2025,R_2026,long_held0_pre_Rday,long_held0_post_Rday,long_held1_pre_Rday,long_held1_post_Rday,long_held2_pre_Rday,long_held2_post_Rday,long_held3_pre_Rday,long_held3_post_Rday,A0,A1,A2,A3,A_held,A_4folds,B_stress,C_final,ALL,AC
long,GER40,LIVE_COMP,,,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",366,316,0.0479,0.523,-24.71,94,86,-0.296,-1.775,-31.88,460,402,-0.0224,-0.277,-35.44,39,42,0.7033,1.594,-6.92,1861,1579,-0.1409,-4.079,-280.1,1980,1694,-0.081,-2.308,-204.99,523,447,-0.1984,-3.054,-107.84,1960,1672,-0.105,-3.012,-241.22,543,469,-0.1076,-1.605,-70.51,1961,1680,-0.1349,-3.89,-287.11,542,461,0.0005,0.008,-40.67,1962,1681,-0.1013,-2.89,-215.99,541,460,-0.1211,-1.842,-88.97,2503,2141,-0.1056,-3.413,-301.31,-0.1407,-0.003,-2.9,-63.3,-20.0,-11.5,-49.6,-6.0,-67.4,-44.4,7.6,-9.7,27.5,-0.2082,-0.1689,-0.1544,0.0286,-0.0469,0.1354,-0.1452,-0.0531,False,False,False,False,False,0,True,True,False,False
long,GER40,LIVE_COMP+MA100,,,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 100, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",366,252,0.0595,0.725,-20.27,94,72,-0.169,-1.062,-19.51,460,324,0.0128,0.176,-26.55,39,42,0.7033,1.594,-6.92,1861,1024,-0.0756,-2.792,-158.41,1980,1180,-0.0265,-0.914,-101.86,523,317,-0.1292,-2.357,-71.19,1960,1158,-0.0454,-1.575,-132.97,543,339,-0.057,-1.019,-40.42,1961,1177,-0.0754,-2.629,-181.55,542,320,0.0514,0.903,-22.34,1962,1185,-0.044,-1.505,-114.9,541,312,-0.0621,-1.171,-57.46,2503,1497,-0.0479,-1.87,-164.42,-0.0761,0.0321,-2.9,-52.0,-19.0,-0.7,-45.7,14.8,-12.1,-25.8,13.9,2.6,31.5,-0.1464,-0.0771,-0.0833,0.0195,0.0177,0.1471,-0.0843,0.0001,False,False,True,False,False,1,True,True,False,False
long,NDX100,L0,0,1.758,"{""entry_tf"": 5, ""vwap"": true, ""time_stop"": 240, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 35, ""big_tp"": 0, ""std_sl"": 25, ""std_tp"": 0, ""leg_gap"": 15, ""leg_sl"": 25, ""leg_tp"": 115, ""gap_min"": 100, ""be_at"": 1.5, ""partial"": 0, ""trail"": 0}",351,160,0.211,2.236,-16.27,91,36,-0.0757,-0.633,-7.64,442,196,0.152,1.922,-15.39,38,21,-0.0906,-0.397,-5.26,1817,694,0.1043,2.6,-39.29,1915,765,0.098,2.59,-42.56,520,205,0.1314,1.656,-13.78,1922,746,0.1189,3.109,-41.95,513,224,0.0536,0.699,-29.85,1916,785,0.1154,2.856,-38.85,519,185,0.0675,1.126,-18.21,1895,757,0.103,2.656,-30.51,540,213,0.1125,1.543,-33.47,2435,970,0.1051,3.07,-39.29,0.0998,0.1076,11.8,5.3,66.3,59.0,27.4,29.9,1.2,-10.4,35.0,-6.3,34.4,0.1755,-0.0051,0.003,0.2013,0.0648,0.0751,0.0625,0.2541,False,True,True,True,False,3,True,False,False,False
long,NDX100,L1,"0,1,2",2.014,"{""entry_tf"": 5, ""vwap"": true, ""time_stop"": 999, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 100, ""std_sl"": 30, ""std_tp"": 80, ""leg_gap"": 10, ""leg_sl"": 45, ""leg_tp"": 0, ""gap_min"": 100, ""be_at"": 1.5, ""partial"": 3.0, ""trail"": 3.0}",351,198,0.1759,2.561,-13.65,91,45,0.0227,0.192,-10.09,442,243,0.1443,2.413,-12.08,38,21,-0.0966,-0.537,-8.23,1817,903,0.061,2.555,-27.17,1915,977,0.0709,2.877,-20.95,520,255,0.0878,1.887,-10.89,1922,954,0.0783,3.196,-20.32,513,278,0.0604,1.269,-24.74,1916,982,0.0874,3.532,-28.9,519,250,0.027,0.59,-16.83,1895,964,0.0659,2.695,-25.5,540,268,0.1047,2.196,-15.13,2435,1232,0.0745,3.421,-27.17,0.0584,0.1141,12.8,17.3,33.7,13.4,13.5,1.4,19.3,0.2,36.7,29.1,1.0,0.0828,0.1032,0.0267,0.1589,0.0239,0.0358,0.0449,0.2739,True,True,False,True,False,3,True,False,False,False
long,NDX100,L2,0,1.705,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 180, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 100, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 40, ""big_tp"": 60, ""std_sl"": 25, ""std_tp"": 80, ""leg_gap"": 25, ""leg_sl"": 35, ""leg_tp"": 60, ""gap_min"": 100, ""be_at"": 1.0, ""partial"": 0, ""trail"": 2.0}",351,160,0.1565,3.098,-6.99,91,36,-0.1078,-1.587,-8.76,442,196,0.1021,2.386,-9.48,38,21,-0.17,-1.327,-9.78,1817,694,0.0505,2.635,-28.68,1915,765,0.0587,2.982,-38.41,520,205,0.0297,0.874,-15.11,1922,746,0.0559,2.928,-25.3,513,224,0.0397,1.037,-25.34,1916,785,0.0633,3.232,-34.06,519,185,0.0124,0.359,-9.64,1895,757,0.0436,2.282,-25.59,540,213,0.0837,2.201,-18.12,2435,970,0.0525,3.07,-34.02,0.0483,0.0584,13.6,5.2,25.3,25.8,35.3,-5.5,-5.0,-2.4,8.4,25.9,-4.7,0.0508,-0.0357,-0.0032,0.1648,0.0214,-0.0132,0.0664,0.1327,False,False,False,True,False,1,True,False,False,False
long,NDX100,L3,"0,2",1.952,"{""entry_tf"": 5, ""vwap"": true, ""time_stop"": 60, ""legs"": false, ""leg_max"": 1, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.7, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 50, ""big_tp"": 130, ""std_sl"": 20, ""std_tp"": 42, ""leg_gap"": 25, ""leg_sl"": 35, ""leg_tp"": 140, ""gap_min"": 50, ""be_at"": 1.0, ""partial"": 0, ""trail"": 1.5}",351,108,0.1079,2.589,-9.59,91,26,-0.0067,-0.086,-4.07,442,134,0.0843,2.29,-6.72,38,11,0.0028,0.031,-2.06,1817,464,0.0499,3.182,-12.59,1915,509,0.0511,3.264,-11.88,520,138,0.0576,1.81,-6.82,1922,504,0.063,3.928,-14.47,513,143,0.0128,0.443,-14.82,1916,515,0.0541,3.411,-14.12,519,132,0.0464,1.529,-10.72,1895,515,0.0457,2.851,-12.82,540,132,0.0763,2.605,-7.04,2435,647,0.0525,3.732,-14.56,0.0434,0.06,-11.4,4.1,16.5,34.3,5.0,13.9,16.9,3.8,12.9,14.2,10.1,0.0708,0.0166,-0.0115,0.0835,0.0726,-0.0281,0.0413,0.1754,True,False,False,True,False,2,True,True,False,False
long,NDX100,L4,0,1.612,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 60, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.7, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 30, ""std_tp"": 42, ""leg_gap"": 10, ""leg_sl"": 35, ""leg_tp"": 115, ""gap_min"": 0, ""be_at"": 2.0, ""partial"": 1.0, ""trail"": 3.0}",351,134,0.1181,2.487,-8.58,91,24,-0.0263,-0.336,-7.03,442,158,0.0884,2.149,-9.65,38,15,0.4775,1.818,-1.05,1817,487,0.0171,1.236,-13.68,1915,549,0.0404,2.673,-12.61,520,137,-0.0301,-1.147,-21.19,1922,530,0.0229,1.544,-14.45,513,156,0.0343,1.209,-7.01,1916,547,0.0248,1.654,-14.11,519,139,0.0273,0.998,-9.57,1895,534,0.0233,1.592,-11.11,540,152,0.0323,1.092,-10.06,2435,686,0.0253,1.925,-13.68,0.0178,0.0493,4.6,-2.5,-1.7,3.9,5.8,13.0,3.7,7.1,-4.5,32.5,20.6,-0.0316,-0.0255,0.0404,0.0165,0.0191,0.0507,0.015,0.0811,False,True,True,True,False,3,True,True,False,False
long,NDX100,L5,0,1.774,"{""entry_tf"": 5, ""vwap"": true, ""time_stop"": 90, ""legs"": true, ""leg_max"": 4, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0.7, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 50, ""big_tp"": 150, ""std_sl"": 20, ""std_tp"": 80, ""leg_gap"": 25, ""leg_sl"": 35, ""leg_tp"": 115, ""gap_min"": 50, ""be_at"": 1.5, ""partial"": 0, ""trail"": 1.5}",351,113,0.0949,2.129,-8.54,91,27,0.0019,0.02,-6.15,442,140,0.0758,1.88,-5.87,38,11,-0.038,-0.452,-2.42,1817,481,0.0519,2.954,-15.02,1915,528,0.0479,2.766,-15.08,520,144,0.0634,1.806,-8.09,1922,522,0.0635,3.589,-15.0,513,150,0.0052,0.16,-16.14,1916,534,0.0553,3.126,-16.26,519,138,0.0363,1.114,-11.31,1895,538,0.0463,2.567,-19.02,540,134,0.0686,2.269,-9.25,2435,672,0.0513,3.294,-17.75,0.0457,0.0494,-8.3,7.4,16.8,40.1,0.7,11.9,17.8,0.8,10.7,14.0,4.3,0.0821,0.0054,-0.0155,0.0655,0.0536,-0.0128,0.0391,0.1522,True,False,False,True,True,2,True,False,False,False
long,NDX100,L6,0,1.574,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 180, ""legs"": true, ""leg_max"": 1, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 40, ""big_tp"": 0, ""std_sl"": 20, ""std_tp"": 0, ""leg_gap"": 25, ""leg_sl"": 35, ""leg_tp"": 140, ""gap_min"": 20, ""be_at"": 0.5, ""partial"": 3.0, ""trail"": 1.5}",351,204,0.1607,2.679,-11.68,91,46,-0.0253,-0.262,-10.34,442,250,0.1224,2.366,-13.23,38,21,0.0238,0.165,-3.56,1817,926,0.0656,2.838,-24.71,1915,1002,0.0646,2.86,-18.27,520,263,0.08,1.707,-10.34,1922,979,0.0789,3.424,-22.26,513,286,0.0266,0.609,-20.36,1916,1007,0.0703,3.035,-25.57,519,258,0.0592,1.377,-12.67,1895,993,0.0649,2.781,-21.69,540,272,0.0783,1.878,-19.29,2435,1265,0.0679,3.33,-24.71,0.0673,0.0745,17.8,-4.2,13.3,42.0,14.2,21.6,22.1,1.5,18.7,27.4,0.8,0.1054,0.0014,-0.0122,0.1397,0.0758,0.012,0.0452,0.1718,True,False,True,True,True,3,True,True,True,True
long,NDX100,L7,0,1.588,"{""entry_tf"": 5, ""vwap"": true, ""time_stop"": 180, ""legs"": false, ""leg_max"": 4, ""legs_mgmt"": ""fixed"", ""leg_window"": 30, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0.5, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 15, ""big_sl"": 30, ""big_tp"": 0, ""std_sl"": 25, ""std_tp"": 60, ""leg_gap"": 15, ""leg_sl"": 45, ""leg_tp"": 60, ""gap_min"": 50, ""be_at"": 1.5, ""partial"": 0, ""trail"": 3.0}",351,160,0.2505,2.782,-14.53,91,36,0.0831,0.505,-6.79,442,196,0.2161,2.728,-11.22,38,21,-0.1472,-0.679,-6.17,1817,694,0.1064,2.838,-38.78,1915,765,0.1098,3.129,-49.01,520,205,0.1547,1.894,-18.65,1922,746,0.1324,3.564,-44.95,513,224,0.0706,1.038,-30.5,1916,785,0.1219,3.276,-39.05,519,185,0.1098,1.625,-15.86,1895,757,0.12,3.192,-32.9,540,213,0.1171,1.795,-34.41,2435,970,0.1194,3.657,-38.78,0.1034,0.1575,10.6,7.4,33.9,84.7,50.0,17.4,-1.6,-5.2,40.1,19.3,32.2,0.1756,0.0901,-0.0098,0.3049,0.1142,0.0975,0.0656,0.2628,True,False,True,True,True,3,True,False,False,False
