track,inst,tag,sel_folds,robust_max,params,short_train0_days,short_train0_n,short_train0_Rday,short_train0_t,short_train0_maxDD,short_held0_days,short_held0_n,short_held0_Rday,short_held0_t,short_held0_maxDD,short_win_days,short_win_n,short_win_Rday,short_win_t,short_win_maxDD,final_days,final_n,final_Rday,final_t,final_maxDD,stress_days,stress_n,stress_Rday,stress_t,stress_maxDD,short_train1_days,short_train1_n,short_train1_Rday,short_train1_t,short_train1_maxDD,short_held1_days,short_held1_n,short_held1_Rday,short_held1_t,short_held1_maxDD,short_train2_days,short_train2_n,short_train2_Rday,short_train2_t,short_train2_maxDD,short_held2_days,short_held2_n,short_held2_Rday,short_held2_t,short_held2_maxDD,short_train3_days,short_train3_n,short_train3_Rday,short_train3_t,short_train3_maxDD,short_held3_days,short_held3_n,short_held3_Rday,short_held3_t,short_held3_maxDD,pre2024_Rday,since2024_Rday,R_2016,R_2017,R_2018,R_2019,R_2020,R_2021,R_2022,R_2023,R_2024,R_2025,R_2026,short_held0_pre_Rday,short_held0_post_Rday,short_held1_pre_Rday,short_held1_post_Rday,short_held2_pre_Rday,short_held2_post_Rday,short_held3_pre_Rday,short_held3_post_Rday,A0,A1,A2,A3,A_held,A_4folds,B_stress,C_final,ALL,AC
short,FRA40,S0,"0,1,2",1.915,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 180, ""legs"": true, ""leg_max"": 1, ""legs_mgmt"": ""same"", ""leg_window"": 30, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 40, ""big_tp"": 130, ""std_sl"": 15, ""std_tp"": 50, ""leg_gap"": 10, ""leg_sl"": 25, ""leg_tp"": 0, ""gap_min"": 0, ""be_at"": 0, ""partial"": 3.0, ""trail"": 3.0}",363,199,0.1343,1.644,-22.22,87,42,0.1032,0.722,-10.5,450,241,0.1283,1.796,-30.14,38,23,-0.1321,-0.525,-11.84,205,90,-0.1952,-2.692,-40.01,348,179,0.1831,2.34,-23.18,102,62,-0.0589,-0.355,-26.34,350,189,0.1215,1.491,-30.28,100,52,0.152,1.024,-6.22,348,183,0.0636,0.805,-20.04,102,58,0.349,2.159,-13.49,-0.1952,0.0714,,,,,,,,-40.0,19.0,5.4,15.7,,0.1032,,-0.0589,,0.152,,0.349,True,False,True,True,False,3,False,False,False,False
short,FRA40,S1,"0,2",1.099,"{""entry_tf"": 5, ""vwap"": true, ""time_stop"": 999, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 30, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 25, ""big_sl"": 35, ""big_tp"": 0, ""std_sl"": 15, ""std_tp"": 60, ""leg_gap"": 20, ""leg_sl"": 45, ""leg_tp"": 90, ""gap_min"": 20, ""be_at"": 0, ""partial"": 1.5, ""trail"": 0}",363,134,0.131,1.494,-17.55,87,36,0.0363,0.266,-12.62,450,170,0.1127,1.492,-21.06,38,13,-0.0235,-0.104,-8.79,205,63,-0.1762,-3.821,-37.16,348,134,0.1577,1.697,-17.49,102,36,-0.041,-0.406,-18.36,350,133,0.1333,1.693,-20.73,100,37,0.0406,0.204,-11.74,348,131,0.0558,0.686,-13.11,102,39,0.3068,1.673,-12.95,-0.1762,0.0651,,,,,,,,-36.1,1.7,23.7,14.8,,0.0363,,-0.041,,0.0406,,0.3068,False,False,False,True,False,1,False,False,False,False
short,FRA40,S2,0,1.071,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 60, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""fri"", ""big_thr"": 25, ""big_sl"": 50, ""big_tp"": 150, ""std_sl"": 30, ""std_tp"": 0, ""leg_gap"": 15, ""leg_sl"": 45, ""leg_tp"": 140, ""gap_min"": 0, ""be_at"": 1.5, ""partial"": 0, ""trail"": 2.0}",363,148,0.0664,1.257,-12.64,87,31,-0.0382,-0.416,-11.95,450,179,0.0462,0.999,-17.13,38,15,-0.0173,-0.107,-5.83,205,73,0.0041,0.056,-14.89,348,135,0.0755,1.526,-9.49,102,44,-0.0538,-0.473,-20.02,350,142,0.0361,0.679,-17.5,100,37,0.0816,0.875,-3.2,348,134,0.002,0.04,-16.4,102,45,0.1969,1.856,-6.58,0.0041,0.0069,,,,,,,,0.8,-5.7,2.1,7.3,,-0.0382,,-0.0538,,0.0816,,0.1969,False,False,True,True,False,2,False,False,False,False
short,FRA40,S3,"0,2,3",0.848,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 999, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.7, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""skip_low"", ""dow"": ""none"", ""big_thr"": 10, ""big_sl"": 30, ""big_tp"": 0, ""std_sl"": 25, ""std_tp"": 50, ""leg_gap"": 20, ""leg_sl"": 25, ""leg_tp"": 90, ""gap_min"": 0, ""be_at"": 1.5, ""partial"": 3.0, ""trail"": 0}",363,137,0.0851,0.966,-23.78,87,29,-0.0607,-0.598,-9.86,450,166,0.0569,0.771,-27.9,38,13,0.0376,0.126,-9.23,205,72,-0.0526,-0.653,-23.72,348,123,0.0334,0.424,-15.47,102,43,0.137,0.747,-17.72,350,129,0.1018,1.139,-18.8,100,37,-0.1003,-0.913,-15.63,348,124,0.0391,0.499,-27.41,102,42,0.1177,0.633,-8.51,-0.0526,0.0187,,,,,,,,-10.8,16.5,-10.7,7.4,,-0.0607,,0.137,,-0.1003,,0.1177,False,True,False,True,False,2,False,True,False,False
short,FRA40,S4,"0,3",0.818,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 180, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 5, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none"", ""big_thr"": 20, ""big_sl"": 35, ""big_tp"": 200, ""std_sl"": 30, ""std_tp"": 30, ""leg_gap"": 25, ""leg_sl"": 35, ""leg_tp"": 0, ""gap_min"": 50, ""be_at"": 0.5, ""partial"": 0, ""trail"": 3.0}",363,119,0.0839,1.381,-20.74,87,26,0.0203,0.195,-8.4,450,145,0.0716,1.352,-25.4,38,8,-0.065,-1.791,-2.47,205,60,-0.0329,-0.617,-8.49,348,109,0.0589,0.982,-20.64,102,36,0.1151,1.018,-5.96,350,111,0.053,0.971,-17.19,100,34,0.1366,0.961,-10.15,348,110,0.0963,1.521,-20.87,102,35,-0.0125,-0.14,-14.67,-0.0329,0.0543,,,,,,,,-6.7,24.5,-9.7,17.0,,0.0203,,0.1151,,0.1366,,-0.0125,False,True,True,False,False,2,False,False,False,False
short,FRA40,S5,"0,2",0.771,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 90, ""legs"": false, ""leg_max"": 1, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 30, ""gap"": ""off"", ""body_min"": 0, ""volf"": ""skip_low"", ""dow"": ""fri"", ""big_thr"": 20, ""big_sl"": 50, ""big_tp"": 150, ""std_sl"": 15, ""std_tp"": 42, ""leg_gap"": 25, ""leg_sl"": 35, ""leg_tp"": 90, ""gap_min"": 50, ""be_at"": 0, ""partial"": 3.0, ""trail"": 1.5}",363,150,0.0537,1.124,-14.67,87,33,-0.0284,-0.309,-6.74,450,183,0.0379,0.891,-15.31,38,25,-0.0313,-0.165,-8.47,205,89,-0.0969,-1.667,-20.16,348,144,0.0593,1.209,-11.16,102,39,-0.0354,-0.424,-6.29,350,144,0.0511,1.037,-11.7,100,39,-0.0086,-0.106,-10.06,348,136,0.0145,0.315,-17.97,102,47,0.1176,1.157,-6.18,-0.0969,0.0098,,,,,,,,-19.9,-9.4,21.4,-7.0,,-0.0284,,-0.0354,,-0.0086,,0.1176,False,False,False,True,False,1,False,False,False,False
short,FRA40,S6,0,0.715,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 2, ""legs_mgmt"": ""same"", ""leg_window"": 30, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""fri"", ""big_thr"": 20, ""big_sl"": 50, ""big_tp"": 0, ""std_sl"": 20, ""std_tp"": 0, ""leg_gap"": 20, ""leg_sl"": 25, ""leg_tp"": 0, ""gap_min"": 0, ""be_at"": 0, ""partial"": 1.5, ""trail"": 0}",363,96,0.0606,1.434,-6.7,87,17,0.0251,0.333,-4.97,450,113,0.0538,1.449,-7.86,38,18,-0.0124,-0.065,-7.9,205,47,-0.007,-0.131,-8.88,348,82,0.0883,2.122,-4.59,102,31,-0.064,-0.798,-12.36,350,91,0.0384,0.954,-8.98,100,22,0.1075,1.205,-4.03,348,84,0.0366,0.867,-5.67,102,29,0.1124,1.447,-4.68,-0.007,0.0172,,,,,,,,-1.4,-14.7,15.9,9.1,,0.0251,,-0.064,,0.1075,,0.1124,True,False,True,True,True,3,False,False,False,False
short,FRA40,S7,0,0.697,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 180, ""legs"": false, ""leg_max"": 4, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 100, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 5, ""gap"": ""off"", ""body_min"": 0, ""volf"": ""mid"", ""dow"": ""fri"", ""big_thr"": 10, ""big_sl"": 50, ""big_tp"": 0, ""std_sl"": 25, ""std_tp"": 80, ""leg_gap"": 20, ""leg_sl"": 25, ""leg_tp"": 60, ""gap_min"": 100, ""be_at"": 2.0, ""partial"": 2.0, ""trail"": 0}",363,130,0.0526,0.997,-12.25,87,30,0.0565,0.461,-7.31,450,160,0.0534,1.095,-13.43,38,22,-0.0327,-0.175,-8.07,205,77,-0.0791,-1.217,-22.29,348,127,0.0789,1.365,-9.38,102,33,-0.034,-0.401,-10.81,350,125,0.0337,0.639,-14.59,100,35,0.1221,1.035,-6.11,348,119,0.0451,0.81,-14.02,102,41,0.0816,0.81,-5.74,-0.0791,0.0121,,,,,,,,-16.2,-19.2,10.7,14.8,,0.0565,,-0.034,,0.1221,,0.0816,True,False,True,True,True,3,False,False,False,False
short,FRA40,S8,0,0.643,"{""entry_tf"": 5, ""vwap"": true, ""time_stop"": 240, ""legs"": true, ""leg_max"": 1, ""legs_mgmt"": ""fixed"", ""leg_window"": 60, ""ma"": 0, ""dyn"": false, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 5, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""fri"", ""big_thr"": 10, ""big_sl"": 40, ""big_tp"": 115, ""std_sl"": 30, ""std_tp"": 30, ""leg_gap"": 15, ""leg_sl"": 25, ""leg_tp"": 115, ""gap_min"": 0, ""be_at"": 2.0, ""partial"": 2.0, ""trail"": 1.5}",363,129,0.0364,0.779,-10.52,87,28,-0.1065,-1.443,-12.67,450,157,0.0088,0.217,-16.15,38,15,0.0371,0.185,-6.48,205,58,-0.0744,-1.686,-18.93,348,122,0.0225,0.485,-12.51,102,35,-0.0381,-0.465,-12.85,350,121,0.0013,0.028,-16.61,100,36,0.035,0.387,-3.5,348,119,-0.0298,-0.704,-18.43,102,38,0.1405,1.363,-7.28,-0.0744,-0.0061,,,,,,,,-15.2,-5.3,-0.1,3.0,,-0.1065,,-0.0381,,0.035,,0.1405,False,False,True,True,False,2,False,True,False,False
short,FRA40,S9,"0,3",0.842,"{""entry_tf"": 5, ""vwap"": false, ""time_stop"": 999, ""legs"": false, ""leg_max"": 2, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""entry_mode"": ""close"", ""pb_frac"": 0.3, ""pb_wait"": 15, ""gap"": ""against"", ""body_min"": 0, ""volf"": ""off"", ""dow"": ""mon"", ""big_thr"": 20, ""big_sl"": 40, ""big_tp"": 0, ""std_sl"": 35, ""std_tp"": 60, ""leg_gap"": 25, ""leg_sl"": 45, ""leg_tp"": 0, ""gap_min"": 0, ""be_at"": 1.5, ""partial"": 3.0, ""trail"": 0}",363,144,0.0712,0.93,-20.89,87,32,0.1281,0.868,-8.46,450,176,0.0822,1.208,-26.92,38,16,-0.0418,-0.181,-9.4,205,70,-0.1374,-2.292,-31.09,348,132,0.1152,1.442,-19.8,102,44,-0.0303,-0.242,-19.42,350,135,0.0669,0.969,-25.12,100,41,0.1356,0.722,-7.4,348,135,0.0474,0.608,-20.09,102,41,0.2009,1.447,-8.29,-0.1374,0.0426,,,,,,,,-28.2,-5.5,22.8,8.0,,0.1281,,-0.0303,,0.1356,,0.2009,True,False,True,True,True,3,False,False,False,False
