inst,variant,params,short_train0_days,short_train0_n,short_train0_Rday,short_train0_t,short_train0_maxDD,short_held0_days,short_held0_n,short_held0_Rday,short_held0_t,short_held0_maxDD,short_win_days,short_win_n,short_win_Rday,short_win_t,short_win_maxDD,final_days,final_n,final_Rday,final_t,final_maxDD,stress_days,stress_n,stress_Rday,stress_t,stress_maxDD,pre2024_Rday,since2024_Rday,R_2016,R_2017,R_2018,R_2019,R_2020,R_2021,R_2022,R_2023,R_2024,R_2025,R_2026
NQ,LIVE_COMP,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3318,3.004,-15.24,91,74,-0.1144,-0.692,-16.02,443,391,0.2401,2.542,-20.42,53,52,-0.0455,-0.188,-14.5,1820,1555,0.0004,0.013,-35.55,0.0004,0.1685,-3.5,-9.6,-9.4,8.8,4.7,16.8,2.0,-9.0,26.8,56.5,18.5
NQ,LIVE_COMP+MA100,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 100, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,253,0.3252,3.324,-12.28,91,59,-0.0379,-0.249,-10.09,443,312,0.2506,2.981,-12.28,53,50,-0.0065,-0.027,-13.46,1820,1188,0.0189,0.745,-27.94,0.0189,0.1856,-3.5,-9.6,14.0,8.9,10.0,4.7,7.2,2.7,32.7,64.7,17.1
NQ,entry_tf5,"{""entry_tf"": 5, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,319,0.1773,1.778,-16.57,91,85,-0.1841,-0.981,-23.73,443,404,0.103,1.166,-18.71,53,54,0.3197,1.019,-5.18,1820,1616,0.0095,0.3,-35.36,0.0095,0.0599,9.2,-7.5,-8.0,1.2,-18.3,15.1,47.4,-21.9,11.5,21.8,20.7
NQ,vwap_off,"{""entry_tf"": 1, ""vwap"": false, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,375,0.3497,2.985,-19.53,91,96,-0.2401,-1.339,-27.13,443,471,0.2286,2.268,-25.45,53,55,-0.1042,-0.426,-16.57,1820,1830,0.0067,0.203,-29.84,0.0067,0.1682,-2.0,-10.4,1.5,17.6,-1.0,9.7,-3.7,0.6,30.9,60.0,7.7
NQ,legs_off,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": false, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,293,0.2342,2.502,-15.24,91,69,-0.1046,-0.678,-14.09,443,362,0.1646,2.03,-20.59,53,50,-0.0065,-0.026,-13.46,1820,1525,0.0067,0.222,-34.51,0.0067,0.1142,-2.5,-9.6,-8.4,8.8,6.6,20.8,5.8,-9.4,21.0,47.4,2.0
NQ,dyn_scale,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": true, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,316,0.2614,2.464,-17.29,91,75,-0.2384,-1.518,-23.05,443,391,0.1588,1.749,-21.44,53,51,-0.3033,-1.51,-19.05,1820,1646,-0.0042,-0.099,-94.97,-0.0042,0.0868,-13.4,-54.1,-21.9,43.6,24.0,-3.1,21.3,-3.9,13.5,32.4,-8.3
NQ,legs_same_mgmt_be1,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 120, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""same"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 1.0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.2244,2.334,-20.88,91,74,-0.0096,-0.06,-9.13,443,391,0.1763,2.117,-22.77,53,52,-0.0294,-0.151,-12.49,1820,1555,-0.0005,-0.019,-32.23,-0.0005,0.1026,-4.5,-6.6,-0.4,13.1,-1.6,-3.2,1.8,0.4,1.5,48.3,12.1
NQ,time_stop_60,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 60, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3228,3.012,-15.24,91,74,-0.117,-0.728,-16.25,443,391,0.2325,2.535,-20.42,53,52,-0.0455,-0.188,-14.5,1820,1555,-0.0067,-0.233,-34.05,-0.0067,0.1476,-6.1,-4.2,-11.0,10.0,-7.9,9.6,0.3,-2.9,15.9,56.2,16.9
NQ,time_stop_90,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 90, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3229,2.959,-15.24,91,74,-0.1129,-0.688,-15.88,443,391,0.2334,2.499,-20.42,53,52,-0.0455,-0.188,-14.5,1820,1555,0.007,0.233,-36.43,0.007,0.1568,-2.6,-3.6,-0.6,7.5,5.9,16.1,-4.1,-5.7,20.5,57.1,17.0
NQ,time_stop_180,"{""entry_tf"": 1, ""vwap"": true, ""time_stop"": 180, ""legs"": true, ""leg_max"": 6, ""legs_mgmt"": ""fixed"", ""leg_window"": 120, ""ma"": 0, ""dyn"": false, ""big_thr"": 15, ""big_sl"": 35, ""big_tp"": 115, ""std_sl"": 25, ""std_tp"": 42, ""leg_gap"": 15, ""leg_sl"": 35, ""leg_tp"": 115, ""be_at"": 0, ""partial"": 0, ""trail"": 0, ""entry_mode"": ""close"", ""pb_frac"": 0.5, ""pb_wait"": 15, ""gap"": ""off"", ""gap_min"": 0, ""body_min"": 0, ""volf"": ""off"", ""dow"": ""none""}",352,317,0.3284,2.939,-15.24,91,74,-0.1352,-0.818,-17.92,443,391,0.2332,2.443,-20.42,53,52,-0.0455,-0.188,-14.5,1820,1555,0.0079,0.246,-42.5,0.0079,0.1532,-2.8,-15.2,-13.2,17.4,11.7,20.7,2.7,-6.9,21.5,53.3,17.6
