combo,n_strats,risks,breaker,smart,search_n,search_pass60,search_fail60,search_med,stress_n,stress_pass60,stress_fail60,stress_med,short_held0_usd_day,final_usd_day
NDX100:S24 | SPX500:S24,2,1500/1500,2000.0,near,82,0.78,0.183,28.0,370,0.186,0.565,26.0,166.4,666.8
NDX100:S25 | SPX500:S42 | US30:L7,3,1000/1000/1000,2000.0,near,82,0.768,0.073,30.0,370,0.243,0.289,35.5,130.9,234.6
NDX100:S24 | SPX500:S42,2,1500/1500,2000.0,,82,0.744,0.061,33.0,370,0.151,0.295,35.5,99.9,640.6
NDX100:S25,1,1500,2000.0,,82,0.72,0.183,28.0,370,0.254,0.3,32.5,81.5,275.0
SPX500:S24 | NDX100:LIVE_COMP+MA100,2,500/1000,2000.0,near,82,0.695,0.012,35.0,370,0.065,0.427,45.0,22.4,370.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1000/1000/1000,2000.0,near,82,0.671,0.11,31.0,370,0.124,0.378,35.5,65.7,407.7
SPX500:S24 | NDX100:LIVE_COMP,2,500/1000,2000.0,near,82,0.671,0.183,33.0,370,0.073,0.543,42.0,-94.9,342.3
NDX100:S25 | SPX500:S42,2,1500/1500,2000.0,near,82,0.646,0.293,20.0,370,0.268,0.454,27.0,115.0,289.3
NDX100:S25 | SPX500:S21,2,1000/1000,2000.0,near,82,0.634,0.049,35.0,370,0.105,0.192,41.0,30.9,200.8
NDX100:S22 | SPX500:S42,2,1500/1500,2000.0,near,82,0.634,0.268,28.5,370,0.254,0.462,34.0,-85.3,27.4
NDX100:S25 | SPX500:S24,2,1000/500,2000.0,near,82,0.634,0.122,33.0,370,0.151,0.322,37.5,87.7,196.9
SPX500:S21 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,near,82,0.622,0.122,34.0,370,0.054,0.316,43.5,-34.3,374.0
NDX100:S25 | US30:L7,2,1500/1500,2000.0,near,82,0.61,0.256,31.5,370,0.273,0.43,35.0,162.8,337.5
SPX500:S21 | NDX100:LIVE_COMP,2,1000/1000,2000.0,near,82,0.61,0.305,29.5,370,0.076,0.422,40.0,-151.6,346.3
US30:L7 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,near,82,0.61,0.061,34.5,370,0.065,0.297,44.5,43.3,398.2
NDX100:S24 | SPX500:S21,2,1500/1500,2000.0,near,82,0.598,0.171,32.0,370,0.138,0.186,40.0,31.3,652.5
NDX100:S22 | SPX500:S21,2,1500/1500,2000.0,,82,0.598,0.232,31.0,370,0.2,0.468,32.0,-153.9,39.3
NDX100:LIVE_COMP+MA100,1,1500,2000.0,near,82,0.598,0.305,28.0,370,0.1,0.441,34.0,-16.4,534.7
US30:L7 | NDX100:LIVE_COMP,2,1000/1000,2000.0,near,82,0.573,0.244,33.0,370,0.086,0.446,41.0,-74.0,370.5
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,near,82,0.561,0.012,30.5,370,0.103,0.319,42.0,11.5,366.0
SPX500:S42 | NDX100:LIVE_COMP,2,1000/1000,2000.0,near,82,0.549,0.341,28.0,370,0.119,0.424,43.5,-105.9,338.3
SPX500:S21 | NDX100:L6,2,1500/1500,2000.0,,82,0.537,0.195,30.0,370,0.265,0.327,37.0,-70.3,28.4
NDX100:S24 | US30:L7,2,1500/1500,2000.0,,82,0.537,0.341,31.0,370,0.143,0.286,32.0,147.7,688.8
SPX500:S24,1,1500,2000.0,near,82,0.512,0.22,33.0,370,0.089,0.562,26.0,100.1,40.5
NDX100:LIVE_COMP,1,1500,2000.0,near,82,0.488,0.512,19.5,370,0.159,0.584,33.0,-192.4,493.2
NDX100:S22 | SPX500:S24,2,1500/1500,2000.0,near,82,0.476,0.451,19.0,370,0.135,0.678,18.5,-18.8,53.6
SPX500:S24 | NDX100:L6,2,1000/1000,2000.0,,82,0.476,0.037,34.0,370,0.197,0.454,34.0,43.2,28.5
NDX100:S24,1,1500,2000.0,near,82,0.463,0.0,42.0,370,0.114,0.092,42.0,66.4,626.3
NDX100:L6 | US30:L7,2,1500/1500,2000.0,,82,0.451,0.329,38.0,370,0.357,0.346,39.0,46.1,64.7
SPX500:S42 | NDX100:L6,2,1500/1500,2000.0,near,82,0.451,0.268,24.0,370,0.316,0.346,37.0,-1.7,16.5
NDX100:S22 | US30:L7,2,1000/1000,2000.0,,82,0.402,0.061,38.0,370,0.154,0.235,41.0,-25.0,50.4
SPX500:S24 | US30:L7,2,1000/1000,2000.0,,82,0.402,0.134,36.0,370,0.1,0.432,34.0,120.9,68.7
SPX500:S42 | US30:L7,2,1500/1500,2000.0,,82,0.402,0.183,34.0,370,0.141,0.368,43.0,114.9,76.8
SPX500:S21 | US30:L7,2,1500/1500,2000.0,,82,0.366,0.317,34.0,370,0.068,0.33,51.0,46.2,88.8
NDX100:S22,1,1500,2000.0,,82,0.366,0.293,27.5,370,0.143,0.37,39.0,-118.8,13.1
NDX100:L6,1,1500,2000.0,,82,0.329,0.207,31.0,370,0.224,0.205,41.0,-35.2,2.2
SPX500:S21,1,1500,2000.0,,82,0.183,0.073,38.0,370,0.011,0.073,45.5,-35.1,26.2
SPX500:S42,1,1500,2000.0,near,82,0.171,0.024,31.5,370,0.046,0.092,49.0,33.6,14.3
US30:L7,1,1500,2000.0,,82,0.134,0.317,43.0,370,0.032,0.143,48.5,81.3,62.5
