strategy,risk,breaker,short_win_cohorts,short_win_pass_rate,short_win_failed,short_win_pass60,short_win_fail60,short_win_med,stress_cohorts,stress_pass_rate,stress_failed,stress_pass60,stress_fail60,stress_med,short_held0_usd_day,final_usd_day
NQ:S42[AC],500,500.0,94,0.618,34,0.451,0.244,46.0,381,0.124,331,0.076,0.673,53.0,19.3,0.1
NQ:LIVE_COMP,375,,94,0.511,44,0.451,0.463,31.5,381,0.171,310,0.073,0.703,63.0,-37.2,-15.4
NQ:LIVE_COMP,375,1000.0,94,0.511,44,0.451,0.463,31.5,381,0.171,310,0.073,0.703,63.0,-37.2,-15.4
NQ:LIVE_COMP,375,500.0,94,0.511,44,0.451,0.463,31.5,381,0.171,310,0.073,0.703,63.0,-37.2,-15.4
NQ:S42[AC],500,1000.0,94,0.618,34,0.451,0.244,46.0,381,0.124,331,0.076,0.673,53.0,19.3,0.1
NQ:S42[AC],500,,94,0.618,34,0.451,0.244,46.0,381,0.124,331,0.076,0.673,53.0,19.3,0.1
NQ:LIVE_COMP+MA100,375,1000.0,94,0.744,23,0.427,0.171,54.0,381,0.161,308,0.057,0.557,70.0,-12.3,-2.2
NQ:LIVE_COMP+MA100,375,500.0,94,0.744,23,0.427,0.171,54.0,381,0.161,308,0.057,0.557,70.0,-12.3,-2.2
NQ:LIVE_COMP+MA100,375,,94,0.744,23,0.427,0.171,54.0,381,0.161,308,0.057,0.557,70.0,-12.3,-2.2
NQ:LIVE_COMP,500,,94,0.378,56,0.39,0.598,21.5,381,0.217,296,0.141,0.778,31.0,-52.0,-21.5
NQ:LIVE_COMP,500,500.0,94,0.378,56,0.39,0.598,21.5,381,0.217,296,0.141,0.778,31.0,-52.0,-21.5
NQ:LIVE_COMP,500,1000.0,94,0.378,56,0.39,0.598,21.5,381,0.217,296,0.141,0.778,31.0,-52.0,-21.5
NQ:LIVE_COMP+MA100,500,,94,0.478,47,0.366,0.439,28.0,381,0.209,299,0.132,0.649,33.0,-17.2,-3.1
NQ:LIVE_COMP+MA100,500,1000.0,94,0.478,47,0.366,0.439,28.0,381,0.209,299,0.132,0.649,33.0,-17.2,-3.1
NQ:LIVE_COMP+MA100,500,500.0,94,0.478,47,0.366,0.439,28.0,381,0.209,299,0.132,0.649,33.0,-17.2,-3.1
NQ:S24[ALL],500,1000.0,94,0.534,41,0.341,0.366,42.0,381,0.409,192,0.041,0.168,134.0,31.1,13.0
NQ:S24[ALL],500,,94,0.534,41,0.341,0.366,42.0,381,0.409,192,0.041,0.168,134.0,31.1,13.0
NQ:S24[ALL],500,500.0,94,0.534,41,0.341,0.366,42.0,381,0.409,192,0.041,0.168,134.0,31.1,13.0
NQ:S26[ALL],500,,94,0.571,39,0.317,0.268,58.5,381,0.227,290,0.127,0.411,58.0,-30.6,4.1
NQ:S26[ALL],500,1000.0,94,0.571,39,0.317,0.268,58.5,381,0.227,290,0.127,0.411,58.0,-30.6,4.1
